Scenario 7: Adding a new tax rate with no amount sets the default
  Tags: ['@api', '@no-ui']
  When  I want to create a new tax rate
  And  I specify its code as "US_SALES_TAX"
  And  I name it "United States Sales Tax"
  And  I define it for the "United States" zone
  And  I make it applicable for the "Food and Beverage" tax category
  And  I choose the default tax calculator
  And  I add it
  Then  I should be notified that it has been successfully created
  And  the tax rate "United States Sales Tax" should appear in the registry
  And  this tax rate amount should be 0%

