Scenario 2: Adding a non-translatable percent attribute to product
  Tags: ['@api', '@ui', '@mink:chromedriver']
  When  I want to create a new configurable product
  And  I specify its code as "44_MAGNUM"
  And  I name it "44 Magnum" in "English (United States)" locale
  And  I set its slug to "44-magnum" in "English (United States)" locale
  And  I add the "Accuracy" attribute to it
  And  I set its non-translatable "Accuracy" attribute to 95
  And  I add it
  Then  I should be notified that it has been successfully created
  And  the product "44 Magnum" should appear in the store
  And  non-translatable attribute "Accuracy" of product "44 Magnum" should be 95

