Scenario 4: Preventing payment step completion if there are no available methods for a channel
  Tags: ['@no-api', '@ui']
  Given  the store has "Cash on Delivery" payment method not assigned to any channel
  And  I have product "PHP T-Shirt" in the cart
  And  I am at the checkout addressing step
  When  I specify the email as "jon.snow@example.com"
  And  I specify the billing address as "Ankh Morpork", "Frost Alley", "90210", "United States" for "Jon Snow"
  And  I complete the addressing step
  And  I proceed with selecting "Free" shipping method
  And  I do not select any payment method
  Then  I should not be able to complete the payment step
  And  there should be information about no payment methods available for my order

