Scenario 8: a user register an enterprise successfully through the admin validator method and the admin rejects
  Tags: ['@selenium']
  Given  organization_approval_method is "admin" on environment
  And  the mailbox is empty
  And  I follow "Groups" within "#section-relationships"
  And  the following states
  And  I follow "Register a new enterprise"
  And  I fill in the following:
  And  I follow "Next"
  Then  I should see "Enterprise registration completed"
  And  I am logged in as admin
  And  I go to admin_user's control panel
  When  I follow "Tasks" within ".control-panel"
  Then  I should see "Joao Silva wants to create enterprise My Enterprise."
  And  the first mail is to admin_user@example.com
  And  I choose "Reject"
  And  I fill in "Rejection explanation" with "This enterprise has some irregularities."
  And  I follow "Save tasks"
  Then  the last mail is to joaosilva@example.com
  And  I am logged in as "joaosilva"
  And  I am on joaosilva's control panel
  When  I follow "Groups" within "#section-relationships"
  Then  I should not see "My Enterprise"

