Scenario 3: public article on a secret profile should not be displayed
  Tags: ['@selenium']
  Given  I am logged in as "jose"
  And  I go to mycommunity's control panel
  And  I follow "New" within "#section-content"
  And  I follow "Text article"
  And  I fill in "Title" with "My public article"
  And  I fill in post-access hidden field with "2"
  And  I follow "Save and continue"
  When  I am logged in as "maria"
  And  I go to /mycommunity/my-public-article
  Then  I should not see "My public article"

