Scenario 1: Create
  Given  I have authenticated to the API
  And  the follow customers exist:
  When  I create a subscription via the API for "customer.one@example.org" with the follow:
  Then  there should be a subscription for the user "customer.one@example.org"
  And  the subscriber daily stat for the day should be 1
  And  the subscriber monthly stat for the day should be 1
  And  the subscriber yearly stat for the day should be 1
  And  the payment amount stats for the day should be 3000 in the currency "USD"
  And  the monthly recurring revenue estimate should be 3000
  And  the annual recurring revenue estimate should be 36000
  Then  there should be an activated event for "customer.one@example.org"

