local_name,local_owner,local_url,local_visibility,local_is_private,local_total_feature_files,local_downloaded_files,local_download_date,local_status,local_directory,local_feature_files_count,local_feature_files_total_size,local_feature_files_avg_size,local_feature_files_min_size,local_feature_files_max_size,github_name,github_full_name,github_description,github_stars,github_watchers,github_forks,github_open_issues,github_size_kb,github_created_at,github_updated_at,github_pushed_at,github_default_branch,github_private,github_archived,github_disabled,github_topics,github_homepage,github_languages,github_language_bytes,github_language_primary,github_contributors_count,github_top_contributors,github_last_release,github_open_prs_count,github_last_commit_date,github_license,github_readme_size,github_subscribers_count,github_network_count,github_has_wiki,github_has_pages,github_has_downloads,github_has_discussions,github_allow_forking,github_web_commit_signoff_required,user_stories_count,scenarios_count
porta,3scale,https://github.com/3scale/porta,public,FALSE,267,267,2025-11-26 08:08:15,success,output\2-PaserAndFiltering\randonSelecedUS\3scale_porta,267,716211,2.682.438.202.247.190,97,10220,porta,3scale/porta,"Red Hat 3scale API Management, Porta",79,79,71,25,63503,2018-09-18T16:03:13Z,2026-02-08T10:31:52Z,2026-02-07T16:58:38Z,master,FALSE,FALSE,FALSE,"3scale, api, api-management, hacktoberfest, redhat, ruby-on-rails",,"Ruby, TypeScript, JavaScript, Gherkin, SCSS, HTML, Slim, Liquid, CSS, CoffeeScript, Makefile, Shell, Dockerfile, Procfile",10215331,Ruby,5,"josemigallas, Martouta, hallelujah",3scale-2.16.1-GA,1,2026-02-06T09:12:27Z,Apache License 2.0,1444,22,71,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,183,925
LocalSupport,AgileVentures,https://github.com/AgileVentures/LocalSupport,public,FALSE,87,87,2025-11-26 08:30:46,success,output\2-PaserAndFiltering\randonSelecedUS\AgileVentures_LocalSupport,87,216378,2.487.103.448.275.860,0,8807,LocalSupport,AgileVentures/LocalSupport,A directory of local support services and volunteer opportunities,64,64,211,126,24032,2013-11-18T17:24:59Z,2025-09-03T16:59:19Z,2023-01-19T11:03:11Z,develop,FALSE,FALSE,FALSE,"activerecord, agile, caching, capybara, continuous-deployment, continuous-integration, cucumber, geolocation, heroku, heroku-deployment, javascript, open-source, rails, rails-application, rails5, rspec, rspec-rails, ruby, ruby-on-rails, travis-ci",http://www.harrowcn.org.uk,"Ruby, Gherkin, HTML, JavaScript, CSS, SCSS, Less, Dockerfile, CoffeeScript, Shell",934237,Ruby,5,"tansaku, mtc2013, johnnymo87",,1,2021-01-18T06:26:03Z,Other,2868,15,211,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,80,330
whitehall,alphagov,https://github.com/alphagov/whitehall,public,FALSE,52,52,2025-11-26 00:11:39,success,output\2-PaserAndFiltering\randonSelecedUS\alphagov_whitehall,52,100419,19.311.346.153.846.100,261,11729,whitehall,alphagov/whitehall,Publishes government content on GOV.UK,988,988,196,39,202221,2011-09-19T15:10:49Z,2026-02-07T14:35:27Z,2026-02-08T17:42:06Z,main,FALSE,FALSE,FALSE,govuk,https://docs.publishing.service.gov.uk/apps/whitehall.html,"Ruby, HTML, JavaScript, Gherkin, SCSS, Shell, Dockerfile, Procfile",5671173,Ruby,5,"tekin, dependabot[bot], davidgisbey",v2741,1,2026-02-06T17:28:40Z,MIT License,1685,128,196,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,29,236
core,api-platform,https://github.com/api-platform/core,public,FALSE,135,135,2025-11-26 00:03:43,success,output\2-PaserAndFiltering\randonSelecedUS\api-platform_core,135,956474,7.084.992.592.592.590,345,53131,core,api-platform/core,The server component of API Platform: hypermedia and GraphQL APIs in minutes,2550,2550,960,199,58873,2015-01-19T23:05:56Z,2026-02-08T17:36:38Z,2026-02-08T17:36:34Z,main,FALSE,FALSE,FALSE,"api, api-platform, graphql, hacktoberfest, hal, hydra-api, hypermedia, json-ld, jsonapi, php, rest, swagger, symfony, symfony-bundle",https://api-platform.com,"PHP, Gherkin, CSS, JavaScript, Blade, Twig, Shell, HTML, Smarty, Go Template",8808504,PHP,5,"soyuka, dunglas, teohhanhui",v4.2.15,1,2026-02-08T17:36:34Z,MIT License,1297,65,960,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,112,794
billabear,billabear,https://github.com/billabear/billabear,public,FALSE,245,245,2025-11-26 01:06:26,success,output\2-PaserAndFiltering\randonSelecedUS\billabear_billabear,245,795540,32.471.020.408.163.200,336,20763,billabear,billabear/billabear,Subscription Management and Billing System,732,732,53,1,13296,2023-03-09T09:55:12Z,2026-02-07T22:44:42Z,2026-02-07T11:57:11Z,main,FALSE,FALSE,FALSE,"billing, billing-system, generator, invoice-generator, parthenon, receipt, rest-api, saas, stripe, stripe-billing, subscription, subscription-management",https://billabear.com,"PHP, Vue, Gherkin, JavaScript, TypeScript, CSS, Twig, Shell, Dockerfile",5920277,PHP,4,"marcus-vance, dependabot[bot], jetbrains-junie[bot]",2025.01.03,0,2026-02-07T11:57:05Z,Other,45482,3,53,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,91,553
oerpscenario,camptocamp,https://github.com/camptocamp/oerpscenario,public,FALSE,53,53,2025-11-26 09:10:09,success,output\2-PaserAndFiltering\randonSelecedUS\camptocamp_oerpscenario,53,242375,457.311.320.754.717,417,18468,oerpscenario,camptocamp/oerpscenario,Business Driven Development (BDD) for OpenERP/Odoo,37,37,31,11,4792,2014-08-28T13:04:51Z,2025-12-17T14:47:31Z,2016-10-26T10:20:29Z,master,FALSE,TRUE,FALSE,,,"Gherkin, Python",306053,Gherkin,5,"nbessi, jgrandguillaume, gurneyalex",0.9,1,2016-10-26T10:20:29Z,GNU General Public License v2.0,1794,34,31,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,23,220
cocorico,Cocolabs-SAS,https://github.com/Cocolabs-SAS/cocorico,public,FALSE,30,30,2025-11-26 00:14:25,success,output\2-PaserAndFiltering\randonSelecedUS\Cocolabs-SAS_cocorico,30,86110,28.703.333.333.333.300,293,13383,cocorico,Cocolabs-SAS/cocorico,"噫 Cocorico has evolved into Second (www.scnd.com) - a powerful, scalable, and enterprise-ready solution built specifically for advanced service and rental marketplaces. 検 Second delivers enhanced features, greater flexibility, and superior performance to meet the demands of today's digital marketplace platforms. 迫 Explore Second: www.scnd.com",868,868,601,17,4394,2016-03-23T15:43:58Z,2025-12-21T13:50:28Z,2021-10-19T14:17:28Z,master,FALSE,FALSE,FALSE,"cocolabs, cocorico, database, dll, ecommerce-platform, fill, linux, marketplace, mongodb, open-source, php, platform, roadmap, service-marketplace, sharing-economy, symfony, virtual",https://www.cocolabs.com,"PHP, Twig, CSS, JavaScript, Gherkin, Shell, Batchfile",3138969,PHP,5,"cocolabssas, afedak, humenetskyifr",v0.15.1,1,2021-02-09T17:15:50Z,MIT License,1772,98,601,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,30,74
CoreShop,coreshop,https://github.com/coreshop/CoreShop,public,FALSE,316,316,2025-11-26 02:11:04,success,output\2-PaserAndFiltering\randonSelecedUS\coreshop_CoreShop,316,485771,1537.25,228,5787,CoreShop,coreshop/CoreShop,CoreShop - Pimcore enhanced eCommerce,290,290,162,25,99868,2015-03-17T08:26:39Z,2026-02-04T13:36:31Z,2026-02-08T04:36:16Z,5.0,FALSE,FALSE,FALSE,"commerce, commerce-engine, coreshop, e-commerce, ecommerce, ecommerce-platform, pimcore, pimcore-ecommerce, pimcore-plugin, shop",http://www.coreshop.com,"PHP, JavaScript, Gherkin, Twig, CSS, SCSS, Shell, TypeScript, Dockerfile",7566668,PHP,5,"dpfaffenbauer, solverat, cs-silentbob",5.0.0,1,2026-02-04T13:36:24Z,Other,1596,20,162,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,214,683
YAWIK,cross-solution,https://github.com/cross-solution/YAWIK,public,FALSE,14,14,2025-11-26 03:00:06,success,output\2-PaserAndFiltering\randonSelecedUS\cross-solution_YAWIK,14,29513,21.080.714.285.714.200,591,4806,YAWIK,cross-solution/YAWIK,YAWIK is a web application. It can be used as an ATS applicant tracking system or as a jobboard.,131,131,66,47,19325,2013-04-15T10:52:51Z,2025-10-23T13:38:38Z,2023-08-30T21:23:32Z,master,FALSE,FALSE,FALSE,"applicants, job-board, jobsearch, recruiters, yawik",https://yawik.org,"PHP, HTML, JavaScript, Less, Gherkin, Shell, Dockerfile, CSS",5490402,PHP,5,"TiSiE, cbleek, kilip",v0.35.4,1,2021-08-09T10:45:41Z,MIT License,3770,13,66,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,14,40
datadog-api-client-typescript,DataDog,https://github.com/DataDog/datadog-api-client-typescript,public,FALSE,115,115,2025-11-26 03:19:43,success,output\2-PaserAndFiltering\randonSelecedUS\DataDog_datadog-api-client-typescript,115,1340160,11.653.565.217.391.300,449,107864,datadog-api-client-typescript,DataDog/datadog-api-client-typescript,Typescript client for the Datadog API,99,99,18,145,2066674,2021-02-02T10:48:09Z,2026-02-05T20:25:09Z,2026-02-06T22:58:01Z,master,FALSE,FALSE,FALSE,"datadog, datadog-api, openai, typescript",https://www.npmjs.com/package/@datadog/datadog-api-client,"TypeScript, Gherkin, Python, JavaScript, Jinja, Shell",16463783,TypeScript,5,"api-clients-generation-pipeline[bot], therve, skarimo",v1.51.0,1,2026-02-05T20:25:02Z,Apache License 2.0,9806,499,18,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,110,1873
