repositorio,arquivo,similaridade embedding,similaridade TF-IDF,qtd_cenarios_originais,qtd_cenarios_llm,qtd_linhas_llm,qtd_linhas_originais,qtd_palavras_llm,qtd_palavras_originai,qtd_caracteres_llm,qtd_caracteres_oriinais
karma-runner_karma,tag_story_processado.txt,0.80680,0.66060,4,5,36,27,294,97,1772,640
vegaprotocol_vega,0032-PRIM-025_story_processado.txt,0.79420,0.90600,1,5,32,13,285,106,1858,710
MetaMask_metamask-mobile,ColdStartToOnboardingScreenIOS_story_processado.txt,0.77440,0.65000,1,5,30,6,232,32,1348,199
alphagov_whitehall,topical_events_story_processado.txt,0.76650,0.91380,4,5,36,25,271,162,1664,953
SFDigitalServices_sf-dahlia-web,custom_educator_listing_1_story_processado.txt,0.76360,0.50810,2,5,40,45,319,406,2070,2349
AgileVentures_LocalSupport,admin_promoting_site_story_processado.txt,0.76140,0.51930,1,5,24,12,178,52,1117,296
vegaprotocol_vega,0026-AUCT-029_story_processado.txt,0.75800,0.82270,2,5,35,16,274,121,1902,835
camptocamp_oerpscenario,samples_story_processado.txt,0.73660,0.68860,8,5,30,63,227,365,1439,2203
karma-runner_karma,cli_story_processado.txt,0.73560,0.51770,9,5,29,54,218,172,1440,1186
3scale_porta,update_story_processado.txt,0.72960,0.89140,2,5,37,19,258,90,1905,718
alphagov_whitehall,review_reminder_story_processado.txt,0.72730,0.60860,4,5,31,33,261,282,1560,1723
FinAegis_core-banking-prototype-laravel,governance_voting_story_processado.txt,0.72650,0.82730,9,5,29,84,208,412,1410,2700
inventorypapa_free-dropshipping-automation-software,browsing_inventory_story_processado.txt,0.71750,0.69030,2,5,29,13,221,64,1532,382
GSA_search-gov,odie_url_source_update_story_processado.txt,0.71040,0.56700,1,5,39,27,342,231,2316,1427
Sylius_Sylius,sorting_payment_methods_by_position_story_processado.txt,0.70650,0.75820,3,5,25,24,229,148,1490,886
SFDigitalServices_sf-dahlia-web,custom_educator_listing_2_story_processado.txt,0.70470,0.34390,2,5,38,66,330,575,2203,3336
