arquivo,repositorio,cenario_numero,nome_cenario,cenario,US,caminho_completo,métrica de coesão,métrica de cobertura,OBS
activation_story_processado.txt,3scale_porta,cenário 5,Multiple activation attempts with same token,"Scenario: Multiple activation attempts with same token 
  Given there is a registered user with an unactivated account
  And the user has received an activation token via email
  When the user activates their account using the received token
  And attempts to activate their account again using the same token
  Then the system denies the second activation attempt
  And displays a message indicating that the account is already activated",In order to allow only users with valid emails to sign in They have to activate themselves first,3scale_porta\activation_story_processado.txt,1,1,
cinstances_story_processado.txt,3scale_porta,cenário 4,Edit customer details,"Scenario: Edit customer details
  Given there is a customer with existing details
  When the provider edits the customer's details
  And saves the changes
  Then the system updates the customer's details
  And displays a confirmation message",In order to manage my clients As a provider I want to see and edit details about them,3scale_porta\cinstances_story_processado.txt,1,1,
index_13_story_processado.txt,3scale_porta,cenário 3,Filter customer service subscriptions by status,"Scenario: Filter customer service subscriptions by status
  Given there are customer service subscriptions with different statuses for a provider
  When the provider filters subscriptions by status ""Active""
  Then the system displays a list of customer service subscriptions with ""Active"" status
  And the list includes the plan, billing type, value, and service for each subscription","As a provider, I want to see a list of my customers' service subscriptions that is searchable and filterable",3scale_porta\index_13_story_processado.txt,1,1,
update_story_processado.txt,3scale_porta,cenário 3,Cancel update notification preferences,"Scenario: Cancel update notification preferences
  Given the provider user is on the notification preferences page
  And there are notification types available for selection
  When the provider user makes changes to the notification preferences
  And cancels the update
  Then the system does not update the notification preferences
  And redirects the provider user to the previous page",As a provider user I'd like to update the notification preferences page correctly,3scale_porta\update_story_processado.txt,1,1,
admin_promoting_site_story_processado.txt,AgileVentures_LocalSupport,cenário 1,Site name is displayed on the homepage,"Scenario: Site name is displayed on the homepage
  Given the user is on the homepage
  Then the site name ""Harrow Community Network"" is displayed prominently
  And the site's visual identity is visible",As a site superadministrator So that people recognize our brand I want to have the site name displayed prominently Tracker story ID: https://www.pivotaltracker.com/story/show/50372317,AgileVentures_LocalSupport\admin_promoting_site_story_processado.txt,1,1,
category_import_story_processado.txt,AgileVentures_LocalSupport,cenário 1,Import categories from a valid CSV file,"Scenario: Import categories from a valid CSV file
  Given there is a Site Super Admin user logged in
  And there is a CSV file containing valid categories
  When the Super Admin imports the CSV file
  Then the system imports the categories successfully
  And the categories are added to the system",As a Site Super Admin So that Organisations can be categorized in accordance with governmental designations I want to import external lists of Categories and associate them with Organisations,AgileVentures_LocalSupport\category_import_story_processado.txt,1,1,
edit_donation_info_story_processado.txt,AgileVentures_LocalSupport,cenário 5,Charity worker cancels updating donation link,"Scenario: Charity worker cancels updating donation link
  Given there is a charity worker with an organization
  And the organization's donation link is currently ""https://old-donation-link.com""
  When the charity worker cancels updating the donation link
  Then the system does not change the donation link
  And the organization's donation link remains ""https://old-donation-link.com""",As a charity worker So that I can attract funding I want to encourage local people to donate (charity worker can update a link to where they accept donations) Tracker story: https://www.pivotaltracker.com/s/projects/742821/stories/45405077,AgileVentures_LocalSupport\edit_donation_info_story_processado.txt,1,1,
edit_own_charity_profile_story_processado.txt,AgileVentures_LocalSupport,cenário 5,External failure does not prevent charity details update,"Scenario: External failure does not prevent charity details update
  Given there is a charity with contact details ""Old email""
  And a charity worker is associated with the charity
  And an external service is unavailable
  When the charity worker edits the charity contact details to ""New email""
  Then the charity's contact details are updated to ""New email""
  And the change is reflected on the charity's public page
  And the system does not prevent the update due to the external failure",As a charity worker So that I can increase my charity's visibility I want to edit my charity's web page (description and contact details) Tracker story ID: https://www.pivotaltracker.com/story/show/45671099,AgileVentures_LocalSupport\edit_own_charity_profile_story_processado.txt,1,1,
policy-groups_story_processado.txt,alphagov_whitehall,cenário 2,Associate multiple Policy Groups with a single policy,"Scenario: Associate multiple Policy Groups with a single policy
  Given there is a policy with the title ""New Environmental Policy""
  And there are two Policy Groups with titles ""Climate Change Experts"" and ""Renewable Energy Advocates""
  When the editor associates the Policy Groups ""Climate Change Experts"" and ""Renewable Energy Advocates"" with the policy ""New Environmental Policy""
  Then the system displays the metadata on the policy page
  And the metadata reads ""Groups: Climate Change Experts, Renewable Energy Advocates""","As a citizen: I want to be able to follow a link from policy documents to the profile of any groups who are influencing the policy So I can see how outside experts and stakeholders are involved in making the policy Done means: - It is possible to create 'Policy groups' and associate them to policies - multiple policy groups can be associated to a single policy - doing so results in a line of metadata on the policy page, below the one for a policy team, which reads ""Groups: [Title of group as a link]"" with the +others JavaScript behaviour for multiple items. - An group page comprises: - Title - Summary - Description (markdown field) - Contact email - Attachments (placed inline using markdown) - consistent with the policy teams design, the H2s are pulled out into a contents list as anchor links",alphagov_whitehall\policy-groups_story_processado.txt,1,1,
review_reminder_story_processado.txt,alphagov_whitehall,cenário 2,Edit the review date for an existing document,"Scenario: Edit the review date for an existing document
  Given there is a document with a review date ""2024-03-15""
  When the editor updates the review date to ""2024-06-15""
  Then the system displays the review date ""2024-06-15"" on the edition summary page
  And the document has a configured reminder for ""2024-06-15""",In order to allow publishers to maintain content An editor Should be able to set and edit a review date for a document,alphagov_whitehall\review_reminder_story_processado.txt,1,1,
topical_events_story_processado.txt,alphagov_whitehall,cenário 3,Update a published topical event,"Scenario: Update a published topical event
  Given there is an editor logged in
  And there is a published topical event with the title ""New Event""
  When the editor updates the summary of the topical event ""New Event""
  And saves the changes
  Then the system updates the event details
  And displays a confirmation message",As an editor I want to be able to create and publish topical events So that I can communicate about them,alphagov_whitehall\topical_events_story_processado.txt,1,1,
unwithdrawing-withdrawn-documents_story_processado.txt,alphagov_whitehall,cenário 2,Unwithdraw a non-existent document,"Scenario: Unwithdraw a non-existent document
  Given there is no document with title ""Non Existent Document""
  When the Managing Editor attempts to unwithdraw the document
  Then the system displays an error message indicating that the document does not exist",As a Managing Editor I can unwithdraw withdrawn documents So that I can adjust them with banners or annotations and withdraw them again,alphagov_whitehall\unwithdrawing-withdrawn-documents_story_processado.txt,1,1,
absolute_url_story_processado.txt,api-platform_core,cenário 4,Client navigates through absolute URLs,"Scenario: Client navigates through absolute URLs
  Given there is a published resource with an absolute URL ""https://example.com/resources/123""
  When the client navigates to the URL ""https://example.com/resources/123""
  Then the system returns the resource with the identifier ""123""
  And the response contains the expected data",In order to add detail to IRIs Include the absolute url,api-platform_core\absolute_url_story_processado.txt,1,0.9,Não possui casos de erro
collection_attributes_story_processado.txt,api-platform_core,cenário 1,Retrieve a simple entity with a collection attribute,"Scenario: Retrieve a simple entity with a collection attribute 
  Given there is an entity with a collection attribute
  When the client requests the entity data via the JSON API
  Then the system returns a valid JSON API response
  And the response contains the entity's collection attribute",In order to use the JSON API hypermedia format As a client software developer I need to be able to retrieve valid JSON API responses for collection attributes on entities.,api-platform_core\collection_attributes_story_processado.txt,1,1,
