repositorio,arquivo,US ,Descrição,Descrição em inglês
3scale_porta ,activation_story.txt,In order to allow only users with valid emails to sign in They have to activate themselves first,"O sistema de gerenciamento de APIs Red Hat 3scale (Porta), responsável por  fornecer um portal de administração para provedores de API,  deve permitir que usuários cadastrados acessem sua conta apenas após ativarem o token enviado por e-mail. Somente após essa confirmação eles poderão realizar login e visualizar suas integrações com provedores.","The Red Hat 3scale API Management system (Porta), responsible for providing an administration portal for API providers, must ensure that registered users can only access their account after activating the token sent via email. Only after this confirmation will they be able to log in and view their integrations with API providers."
3scale_porta,cinstances_story.txt,In order to manage my clients As a provider I want to see and edit details about them,"O sistema de gerenciamento de APIs Red Hat 3scale (Porta), responsável por fornecer um portal de administração para provedores de API, deve permitir ao usuário prestador de serviços ver e editar informações de seus clientes, incluindo informações de pagamento quando aplicável. Ao acessar o perfil de um cliente, os detalhes do cartão de crédito devem ser exibidos apenas se o provedor estiver usando o modelo de cobrança informacional. Nos modelos pré-pago ou pós-pago, essas informações não devem aparecer.","The Red Hat 3scale API Management system (Porta), responsible for providing an administration portal for API providers, must allow the service provider user to view and edit their customers' information, including payment details when applicable.  When accessing a customer's profile, credit card details should only be displayed if the provider is using the informational billing model. In pre-paid or post-paid models, this information should not be displayed."
3scale_porta,index_13_story.txt,"As a provider, I want to see a list of my customers' service subscriptions that is searchable and filterable","O sistema de gerenciamento de APIs Red Hat 3scale (Porta), responsável por  fornecer um portal de administração para provedores de API,  deve oferecer ao provedor uma lista de assinaturas de serviços dos seus clientes, permitindo visualizar, buscar, filtrar e ordenar essas assinaturas. A página deve exibir o estado, plano, tipo de cobrança, valor, serviço e demais informações relevantes de cada assinatura, além de suportar filtros por conta, serviço, plano, estado e tipo de pagamento. Quando não houver resultados, o sistema deve mostrar estados vazios apropriados.","The Red Hat 3scale API Management system (Porta), responsible for providing an administration portal for API providers, must offer providers a list of their customers' service subscriptions, allowing them to view, search, filter, and sort these subscriptions. The page should display the status, plan, billing type, value, service, and other relevant information for each subscription, and must support filters by account, service, plan, status, and payment type. When there are no results, the system must display appropriate empty states."
3scale_porta,update_story.txt,As a provider user I'd like to update the notification preferences page correctly,"O sistema de gerenciamento de APIs Red Hat 3scale (Porta), responsável por  fornecer um portal de administração para provedores de API, deve permitir que o usuário provedor visualize e atualize suas preferências de notificação, ativando ou desativando os tipos de alerta disponíveis. A página deve refletir corretamente as seleções feitas, garantindo que somente as notificações marcadas sejam registradas e exibindo uma confirmação de sucesso após a atualização.","The Red Hat 3scale API Management system (Porta), responsible for providing an administration portal for API providers, must allow the provider user to manage their notification preferences by enabling or disabling the available alert types. The page must accurately reflect the selections made, ensuring that only the checked notifications are registered and displaying a success confirmation after the update."
AgileVentures_LocalSupport,admin_promoting_site_story.txt,As a site superadministrator So that people recognize our brand I want to have the site name displayed prominently Tracker story ID: https://www.pivotaltracker.com/story/show/50372317,"O sistema LocalSupport, que gerencia o diretório de serviços comunitários e oportunidades de voluntariado de Harrow, deve exibir de forma consistente o nome e a identidade visual do site em todas as páginas, garantindo reconhecimento claro da marca “Harrow Community Network”.","The LocalSupport system, which manages the directory of community services and volunteering opportunities in Harrow, must consistently display the site's name and visual identity on all pages, ensuring clear recognition of the ""Harrow Community Network"" brand."
AgileVentures_LocalSupport,category_import_story.txt,As a Site Super Admin So that Organisations can be categorized in accordance with governmental designations I want to import external lists of Categories and associate them with Organisations,"O sistema LocalSupport, utilizado para gerenciar organizações e serviços comunitários de Harrow, deve permitir que o usuário Super Admin importe categorias externas por meio de um arquivo CSV. Essa importação deve adicionar novas categorias ao sistema e possibilitar sua associação com as organizações existentes.","The LocalSupport system, used to manage Harrow's community organizations and services, must allow the Super Admin user to import external categories via a CSV file. This import must add new categories to the system and enable their association with existing organizations."
AgileVentures_LocalSupport,edit_donation_info_story.txt,As a charity worker So that I can attract funding I want to encourage local people to donate (charity worker can update a link to where they accept donations) Tracker story: https://www.pivotaltracker.com/s/projects/742821/stories/45405077,"O sistema LocalSupport utilizado para gerenciar organizações e serviços comunitários de Harrow, deve permitir que o trabalhador de caridade atualize o link de doação de sua organização, para facilitar que moradores locais contribuam e apoiar a captação de recursos. Ao editar a URL na página da organização, o sistema deve salvar a alteração, exibir confirmação de sucesso e apresentar o novo link na página pública da organização.","The LocalSupport system, used to manage community organizations and services in Harrow, must allow charity workers to update their organization's donation link. This makes it easier for local residents to contribute and supports fundraising efforts. When editing the URL on the organization's page, the system must save the change, display a success confirmation, and show the new link on the organization's public page."
AgileVentures_LocalSupport,edit_own_charity_profile_story.txt,As a charity worker So that I can increase my charity's visibility I want to edit my charity's web page (description and contact details) Tracker story ID: https://www.pivotaltracker.com/story/show/45671099,"O sistema LocalSupport utilizado para gerenciar organizações e serviços comunitários de Harrow, deve permitir que o trabalhador de caridade edite as informações públicas de sua própria organização, como website, endereço, contato e categorias, controlando quais dados serão exibidos ao público. Apenas usuários associados podem realizar essas edições, enquanto demais usuários não devem ver opções de alteração. O sistema deve ainda aceitar URLs sem protocolo, lidar com falhas externas sem impedir atualizações e refletir imediatamente as mudanças na página da organização.","The LocalSupport system, used to manage Harrow's community organizations and services, must allow a charity worker to edit the public information of their own organization, such as its website, address, contact details, and categories, controlling which data is displayed to the public. Only associated users may perform these edits, while other users should not see any editing options. The system must also accept protocol-less URLs, handle external failures without preventing updates, and immediately reflect changes on the organization's page."
alphagov_whitehall,policy-groups_story.txt,"As a citizen: I want to be able to follow a link from policy documents to the profile of any groups who are influencing the policy So I can see how outside experts and stakeholders are involved in making the policy Done means: - It is possible to create 'Policy groups' and associate them to policies - multiple policy groups can be associated to a single policy - doing so results in a line of metadata on the policy page, below the one for a policy team, which reads ""Groups: [Title of group as a link]"" with the +others JavaScript behaviour for multiple items. - An group page comprises: - Title - Summary - Description (markdown field) - Contact email - Attachments (placed inline using markdown) - consistent with the policy teams design, the H2s are pulled out into a contents list as anchor links","O Whitehall é o sistema de publicação usado pelo governo para criar, gerenciar e atualizar conteúdos oficiais,deve permitir e editores criem, editem e excluem Policy Groups, gerenciem seu conteúdo (título, resumo, descrição em markdown, email de contato e anexos) e os associem a políticas. Esses grupos devem aparecer como metadados nas páginas de política, possibilitando que cidadãos identifiquem facilmente quais especialistas e organizações contribuem para a formulação das políticas.","Whitehall, the publishing system used by the government to create, manage, and update official content, must allow editors to create, edit, and delete Policy Groups, manage their content (title, summary, markdown description, contact email, and attachments), and associate them with policies. These groups should appear as metadata on policy pages, enabling citizens to easily identify which experts and organizations contribute to policy formulation."
alphagov_whitehall,review_reminder_story.txt,In order to allow publishers to maintain content An editor Should be able to set and edit a review date for a document,"O Whitehall é o sistema de publicação usado pelo governo para criar, gerenciar e atualizar conteúdos oficiais,deve permitir que editores definam, atualizem e removam datas de revisão de publicações, garantindo que cada documento tenha um lembrete configurado para manutenção futura. A data de revisão deve ser exibida na página de resumo da edição e atualizada conforme as ações do editor, assegurando o acompanhamento adequado da vigência e relevância do conteúdo publicado.","Whitehall, the publishing system used by the government to create, manage, and update official content, must allow editors to set, update, and remove publication review dates, ensuring each document has a configured reminder for future maintenance. The review date must be displayed on the edition summary page and updated according to the editor's actions, ensuring proper tracking of the published content's currency and relevance."
alphagov_whitehall,topical_events_story.txt,As an editor I want to be able to create and publish topical events So that I can communicate about them,"O Whitehall é o sistema de publicação usado pelo governo para criar, gerenciar e atualizar conteúdos oficiais, deve permitir que editores criem, atualizem e excluam Topical Events, incluindo seus resumos, descrições e páginas adicionais de informações. Os eventos cadastrados devem aparecer corretamente na interface administrativa, permitir edição do conteúdo relacionado e possibilitar arquivamento ou remoção quando necessário.","Whitehall, the publishing system used by the government to create, manage, and update official content, must allow editors to create, update, and delete Topical Events, including their summaries, descriptions, and additional information pages. Registered events must appear correctly in the administrative interface, allow editing of related content, and enable archiving or removal when necessary."
alphagov_whitehall,unwithdrawing-withdrawn-documents_story.txt,As a Managing Editor I can unwithdraw withdrawn documents So that I can adjust them with banners or annotations and withdraw them again,"O Whitehall é o sistema de publicação usado pelo governo para criar, gerenciar e atualizar conteúdos oficiais, deve  permitir que editores gerenciem o status de publicações. Além de publicar e retirar documentos do ar (withdraw), o sistema também possibilita reverter essa retirada (unwithdraw), restaurando a publicação para edição. Isso permite que o editor ajuste conteúdo, banners ou anotações antes de efetuar uma nova retirada, garantindo controle total sobre o ciclo de vida de cada publicação.","O Whitehall, sistema de publicação utilizado pelo governo para criar, gerenciar e atualizar conteúdo oficial, deve permitir que os editores gerenciem os status de publicação. Além de publicar e retirar documentos, o sistema também deve permitir o restabelecimento da publicação para edição. Isso permite que o editor ajuste o conteúdo, banners ou anotações antes de realizar uma nova retirada, garantindo controle total sobre o ciclo de vida de cada publicação."
