arquivo,caminho_relativo,erro_parser,erro_lint,erros_parser_descricao,erros_lint_descricao,quantidade_problemas_lint,arquivo_parser,arquivo_lint
3scale_porta\activation_story_processado,3scale_porta,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",23,3scale_porta\activation_story_processado.txt,3scale_porta\activation_story_processado_relatorio.txt
3scale_porta\cinstances_story_processado,3scale_porta,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",25,3scale_porta\cinstances_story_processado.txt,3scale_porta\cinstances_story_processado_relatorio.txt
3scale_porta\index_13_story_processado,3scale_porta,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Step name is too long. Length of 90 is longer than the maximum allowed: 70\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Step name is too long. Length of 73 is longer than the maximum allowed: 70\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Step name is too long. Length of 82 is longer than the maximum allowed: 70\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Step name is too long. Length of 90 is longer than the maximum allowed: 70\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Step name is too long. Length of 79 is longer than the maximum allowed: 70\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Step name is too long. Length of 81 is longer than the maximum allowed: 70\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Step name is too long. Length of 82 is longer than the maximum allowed: 70\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Step name is too long. Length of 95 is longer than the maximum allowed: 70\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Step name is too long. Length of 78 is longer than the maximum allowed: 70\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Step name is too long. Length of 81 is longer than the maximum allowed: 70\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Step name is too long. Length of 78 is longer than the maximum allowed: 70\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Step name is too long. Length of 98 is longer than the maximum allowed: 70\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Step name is too long. Length of 75 is longer than the maximum allowed: 70",33,3scale_porta\index_13_story_processado.txt,3scale_porta\index_13_story_processado_relatorio.txt
3scale_porta\update_story_processado,3scale_porta,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Step name is too long. Length of 71 is longer than the maximum allowed: 70\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 39: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 39: Step name is too long. Length of 101 is longer than the maximum allowed: 70",30,3scale_porta\update_story_processado.txt,3scale_porta\update_story_processado_relatorio.txt
AgileVentures_LocalSupport\admin_promoting_site_story_processado,AgileVentures_LocalSupport,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 9: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Step name is too long. Length of 79 is longer than the maximum allowed: 70\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",16,AgileVentures_LocalSupport\admin_promoting_site_story_processado.txt,AgileVentures_LocalSupport\admin_promoting_site_story_processado_relatorio.txt
AgileVentures_LocalSupport\category_import_story_processado,AgileVentures_LocalSupport,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Step name is too long. Length of 85 is longer than the maximum allowed: 70\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Step name is too long. Length of 85 is longer than the maximum allowed: 70\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Step name is too long. Length of 72 is longer than the maximum allowed: 70\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",28,AgileVentures_LocalSupport\category_import_story_processado.txt,AgileVentures_LocalSupport\category_import_story_processado_relatorio.txt
AgileVentures_LocalSupport\edit_donation_info_story_processado,AgileVentures_LocalSupport,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Step name is too long. Length of 79 is longer than the maximum allowed: 70\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Step name is too long. Length of 71 is longer than the maximum allowed: 70\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Step name is too long. Length of 75 is longer than the maximum allowed: 70\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Step name is too long. Length of 84 is longer than the maximum allowed: 70\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Step name is too long. Length of 73 is longer than the maximum allowed: 70\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Step name is too long. Length of 77 is longer than the maximum allowed: 70\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Step name is too long. Length of 72 is longer than the maximum allowed: 70",34,AgileVentures_LocalSupport\edit_donation_info_story_processado.txt,AgileVentures_LocalSupport\edit_donation_info_story_processado_relatorio.txt
AgileVentures_LocalSupport\edit_own_charity_profile_story_processado,AgileVentures_LocalSupport,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 8: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 14: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Step name is too long. Length of 74 is longer than the maximum allowed: 70\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 32: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 33: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 34: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 35: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 36: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 37: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 38: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",28,AgileVentures_LocalSupport\edit_own_charity_profile_story_processado.txt,AgileVentures_LocalSupport\edit_own_charity_profile_story_processado_relatorio.txt
Cocolabs-SAS_cocorico\Breadcrumb_story_processado,Cocolabs-SAS_cocorico,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 15: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 20: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 21: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 26: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 27: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",18,Cocolabs-SAS_cocorico\Breadcrumb_story_processado.txt,Cocolabs-SAS_cocorico\Breadcrumb_story_processado_relatorio.txt
Cocolabs-SAS_cocorico\ListingSearch_story_processado,Cocolabs-SAS_cocorico,0,1,-,"linha 4: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 5: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 6: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 7: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 10: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 11: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 12: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 13: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 16: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 17: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 18: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 19: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 22: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 23: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 24: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 25: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 28: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 29: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 30: Wrong indentation for ""Step"", expected indentation level of 2, but got 4\nlinha 31: Wrong indentation for ""Step"", expected indentation level of 2, but got 4",20,Cocolabs-SAS_cocorico\ListingSearch_story_processado.txt,Cocolabs-SAS_cocorico\ListingSearch_story_processado_relatorio.txt
