name,url,description,stars,forks,watchers,language,created_at,updated_at,pushed_at,archived,topics,feature_file_url,feature_file_path,score,size,open_issues
IRPTeam/IRP,https://github.com/IRPTeam/IRP,IRP Core,90,112,90.0,1C Enterprise,2020-06-02T13:37:53Z,2025-08-13T14:44:28Z,2025-08-19T11:18:12Z,FALSE,"['1c', '1c-edt', '1c-enterprise', 'edt', 'erp', 'irp']",https://github.com/IRPTeam/IRP/blob/8817bf0f5843c2746191ae7a26a0d4beb9e0a1d1/features/Internal/_9000%20FunctionalOptions/_9001UseSimpleMode.feature,features/Internal/_9000 FunctionalOptions/_9001UseSimpleMode.feature,1.0,136100.0,82.0
bf4/book_code,https://github.com/bf4/book_code,Code from books.  Each is publicly downloadable and contains its own license.  I just want to look at it here,29,26,29.0,,2014-11-05T06:52:44Z,2024-02-18T09:59:25Z,2024-11-19T00:04:52Z,FALSE,[],https://github.com/bf4/book_code/blob/88d1e7eb3b46c40398efcf17c4ef7967c504990e/dhwcr/code/global_hooks/bank.feature,dhwcr/code/global_hooks/bank.feature,1.0,276158.0,12.0
dadrus/jpa-unit,https://github.com/dadrus/jpa-unit,JUnit extension to test javax.persistence entities,29,9,29.0,Java,2016-02-24T10:47:32Z,2024-08-29T09:58:18Z,2019-12-02T11:54:19Z,FALSE,"['cdi', 'concordion', 'cucumber', 'database', 'java', 'jpa', 'jpa-test', 'jpa-unit', 'junit', 'junit5', 'mongodb', 'neo4j', 'persistence', 'test', 'testing']",https://github.com/dadrus/jpa-unit/blob/c59c9ba71d7aa6c58324cb288266881e2f0fe087/cucumber/src/integrationtest/java/eu/drus/jpa/unit/features/new_depositor.feature,cucumber/src/integrationtest/java/eu/drus/jpa/unit/features/new_depositor.feature,1.0,1190.0,20.0
thoughtbot/backbone-js-on-rails,https://github.com/thoughtbot/backbone-js-on-rails,Backbone.js on Rails,27,1,27.0,HTML,2011-07-14T19:34:49Z,2023-09-22T20:46:40Z,2021-09-24T16:02:39Z,FALSE,['book'],https://github.com/thoughtbot/backbone-js-on-rails/blob/d1b77e170043b5dc11936657d5bebbe0d7adee8d/example_app/features/users/complete_tasks.feature,example_app/features/users/complete_tasks.feature,1.0,26179.0,13.0
alisonperez/chits,https://github.com/alisonperez/chits,Community Health Information Tracking System,26,28,26.0,PHP,2009-08-19T03:41:18Z,2024-01-09T00:50:43Z,2015-09-13T14:48:41Z,FALSE,[],https://github.com/alisonperez/chits/blob/ef5aa8d2af8f1afefd1a7e7f7c626ae0d22f8755/features/login.feature,features/login.feature,1.0,27977.0,0.0
Setono/SyliusFeedPlugin,https://github.com/Setono/SyliusFeedPlugin,Create feeds in your Sylius shop,26,50,26.0,PHP,2018-05-11T12:47:25Z,2025-07-21T21:19:56Z,2025-05-15T09:18:17Z,FALSE,"['feed', 'php', 'sylius', 'sylius-plugin', 'symfony']",https://github.com/Setono/SyliusFeedPlugin/blob/778b5be06792ceb9205ba56029dc46b3680d84e6/features/cli/process.feature,features/cli/process.feature,1.0,2559.0,21.0
dimacus/SeleniumBestPracticesBook,https://github.com/dimacus/SeleniumBestPracticesBook,,25,10,25.0,Java,2014-09-05T11:21:42Z,2022-01-30T09:50:43Z,2020-12-10T17:50:26Z,FALSE,[],https://github.com/dimacus/SeleniumBestPracticesBook/blob/07b3274e306113371a4e4a78826568b3378baa4a/Ruby/chapter_7/cucumber_example.feature,Ruby/chapter_7/cucumber_example.feature,1.0,852.0,0.0
edendevelopment/cfi,https://github.com/edendevelopment/cfi,Childrens' Future International,24,7,24.0,Ruby,2010-05-06T15:04:57Z,2016-09-18T10:36:37Z,2011-09-30T12:59:10Z,FALSE,[],https://github.com/edendevelopment/cfi/blob/6652d3a4a9c0733430c60982d982b2576f0fc26e/features/add_a_person.feature,features/add_a_person.feature,1.0,1396.0,11.0
alphagov/finder-frontend,https://github.com/alphagov/finder-frontend,Serves finder and search pages for GOV.UK,23,7,23.0,Ruby,2014-01-23T15:21:03Z,2025-08-19T08:42:07Z,2025-08-19T11:30:07Z,FALSE,"['container', 'govuk', 'govuk-publishing-frontend']",https://github.com/alphagov/finder-frontend/blob/6affcbb147b0d12395c7c6bd3e8d1f8c3f6b8b79/features/all_content_finder.feature,features/all_content_finder.feature,1.0,12319.0,4.0
SmartCasual/jingle-jam,https://github.com/SmartCasual/jingle-jam,Jingle Jam donation and bundle site,21,6,21.0,Ruby,2021-02-23T16:06:53Z,2022-05-11T21:55:25Z,2023-03-02T21:33:37Z,FALSE,[],https://github.com/SmartCasual/jingle-jam/blob/f5de6e6b1b9d1cf72c14d1ea13d6ec46f6b94406/features/payment_providers.feature,features/payment_providers.feature,1.0,2384.0,27.0
