Scenario 1: Cancel subscription
  Given  I have authenticated to the API
  And  the follow customers exist:
  And  the following subscriptions exist:
  When  I extend via the API the subscription "Test Plan" for "customer.one@example.org" with the follow:
  Then  the subscription "Test Plan" for "customer.one@example.org" will be active
  Then  there should be a trial converted event for "customer.one@example.org"
  And  the trial extended daily stat for the day should be 1
  And  the trial extended monthly stat for the day should be 1
  And  the trial extended yearly stat for the day should be 1
  And  the subscriber daily stat for the day should be 1
  And  the subscriber monthly stat for the day should be 1
  And  the subscriber yearly stat for the day should be 1

