arquivo,repositorio,cenario_numero,nome_cenario,caminho_completo
activation_story_processado.txt,3scale_porta,cenário 5,Multiple activation attempts with same token,3scale_porta\activation_story_processado.txt
cinstances_story_processado.txt,3scale_porta,cenário 4,Edit customer details,3scale_porta\cinstances_story_processado.txt
index_13_story_processado.txt,3scale_porta,cenário 3,Filter customer service subscriptions by status,3scale_porta\index_13_story_processado.txt
update_story_processado.txt,3scale_porta,cenário 3,Cancel update notification preferences,3scale_porta\update_story_processado.txt
admin_promoting_site_story_processado.txt,AgileVentures_LocalSupport,cenário 1,Site name is displayed on the homepage,AgileVentures_LocalSupport\admin_promoting_site_story_processado.txt
category_import_story_processado.txt,AgileVentures_LocalSupport,cenário 1,Import categories from a valid CSV file,AgileVentures_LocalSupport\category_import_story_processado.txt
edit_donation_info_story_processado.txt,AgileVentures_LocalSupport,cenário 5,Charity worker cancels updating donation link,AgileVentures_LocalSupport\edit_donation_info_story_processado.txt
edit_own_charity_profile_story_processado.txt,AgileVentures_LocalSupport,cenário 5,External failure does not prevent charity details update,AgileVentures_LocalSupport\edit_own_charity_profile_story_processado.txt
policy-groups_story_processado.txt,alphagov_whitehall,cenário 2,Associate multiple Policy Groups with a single policy,alphagov_whitehall\policy-groups_story_processado.txt
review_reminder_story_processado.txt,alphagov_whitehall,cenário 2,Edit the review date for an existing document,alphagov_whitehall\review_reminder_story_processado.txt
topical_events_story_processado.txt,alphagov_whitehall,cenário 3,Update a published topical event,alphagov_whitehall\topical_events_story_processado.txt
unwithdrawing-withdrawn-documents_story_processado.txt,alphagov_whitehall,cenário 2,Unwithdraw a non-existent document,alphagov_whitehall\unwithdrawing-withdrawn-documents_story_processado.txt
absolute_url_story_processado.txt,api-platform_core,cenário 4,Client navigates through absolute URLs,api-platform_core\absolute_url_story_processado.txt
collection_attributes_story_processado.txt,api-platform_core,cenário 1,Retrieve a simple entity with a collection attribute,api-platform_core\collection_attributes_story_processado.txt
input_output_2_story_processado.txt,api-platform_core,cenário 3,Invalid JSON payload for password reset,api-platform_core\input_output_2_story_processado.txt
numeric_filter_story_processado.txt,api-platform_core,cenário 4,Filter collection with numerical value and property converter,api-platform_core\numeric_filter_story_processado.txt
confirm_email_story_processado.txt,billabear_billabear,cenário 1,Confirm account with valid verification code,billabear_billabear\confirm_email_story_processado.txt
create_product_1_story_processado.txt,billabear_billabear,cenário 5,Create product with valid name and no rate or rate type,billabear_billabear\create_product_1_story_processado.txt
generate_for_payment_story_processado.txt,billabear_billabear,cenário 4,Generate receipt for an existing payment,billabear_billabear\generate_for_payment_story_processado.txt
limit_customer_story_processado.txt,billabear_billabear,cenário 4,Retrieve subscription limits for a customer without subscriptions,billabear_billabear\limit_customer_story_processado.txt
account_bank_statement_story_processado.txt,camptocamp_oerpscenario,cenário 1,Register a new invoice,camptocamp_oerpscenario\account_bank_statement_story_processado.txt
pay_invoice_story_processado.txt,camptocamp_oerpscenario,cenário 3,Full payment of an invoice in a different currency,camptocamp_oerpscenario\pay_invoice_story_processado.txt
sale_story_processado.txt,camptocamp_oerpscenario,cenário 5,Validate accounting entries for a sales order,camptocamp_oerpscenario\sale_story_processado.txt
samples_story_processado.txt,camptocamp_oerpscenario,cenário 3,Validate an invoice,camptocamp_oerpscenario\samples_story_processado.txt
Breadcrumb_story_processado.txt,Cocolabs-SAS_cocorico,cenário 2,Verify breadcrumbs for a direct child page,Cocolabs-SAS_cocorico\Breadcrumb_story_processado.txt
