repositorio,arquivo,similaridade_semantica,qtd_linhas_arquivo1,qtd_linhas_arquivo2,qtd_palavras_arquivo1,qtd_palavras_arquivo2,qtd_caracteres_arquivo1,qtd_caracteres_arquivo2
3scale_porta,activation_story_processado.txt,0.681,32,34,243,179,1581,1150
3scale_porta,cinstances_story_processado.txt,0.592,34,40,213,213,1480,1475
3scale_porta,index_13_story_processado.txt,0.6305,29,119,270,575,1925,3757
3scale_porta,update_story_processado.txt,0.7296,37,19,258,90,1905,718
AgileVentures_LocalSupport,admin_promoting_site_story_processado.txt,0.7614,24,12,178,52,1117,296
AgileVentures_LocalSupport,category_import_story_processado.txt,0.2873,34,4,271,13,1628,84
AgileVentures_LocalSupport,edit_donation_info_story_processado.txt,0.574,33,12,266,83,1935,591
AgileVentures_LocalSupport,edit_own_charity_profile_story_processado.txt,0.6328,36,147,304,996,1977,5888
alphagov_whitehall,policy-groups_story_processado.txt,0.3513,38,14,350,60,2358,371
alphagov_whitehall,review_reminder_story_processado.txt,0.7273,31,33,261,282,1560,1723
alphagov_whitehall,topical_events_story_processado.txt,0.7665,36,25,271,162,1664,953
alphagov_whitehall,unwithdrawing-withdrawn-documents_story_processado.txt,0.6495,30,8,208,48,1447,321
api-platform_core,absolute_url_story_processado.txt,0.6275,29,33,207,192,1540,1311
api-platform_core,collection_attributes_story_processado.txt,0.5671,29,13,244,84,1555,707
api-platform_core,input_output_2_story_processado.txt,0.582,33,19,242,110,1666,778
api-platform_core,numeric_filter_story_processado.txt,0.4902,30,42,274,237,1927,1731
billabear_billabear,confirm_email_story_processado.txt,0.6439,35,13,287,69,1927,520
billabear_billabear,create_product_1_story_processado.txt,0.6283,33,37,244,235,1494,1438
billabear_billabear,generate_for_payment_story_processado.txt,0.5531,33,9,293,55,1873,386
billabear_billabear,limit_customer_story_processado.txt,0.6755,30,18,228,83,1511,591
camptocamp_oerpscenario,account_bank_statement_story_processado.txt,0.6955,33,39,237,330,1540,2290
camptocamp_oerpscenario,pay_invoice_story_processado.txt,0.6959,35,20,270,172,1467,1020
camptocamp_oerpscenario,sale_story_processado.txt,0.6308,32,55,254,435,1578,2672
camptocamp_oerpscenario,samples_story_processado.txt,0.7366,30,63,227,365,1439,2203
Cocolabs-SAS_cocorico,Breadcrumb_story_processado.txt,0.6289,27,168,168,1402,1086,9078
Cocolabs-SAS_cocorico,ListingSearch_story_processado.txt,0.4428,29,60,197,417,1358,2413
Cocolabs-SAS_cocorico,Message_story_processado.txt,0.4637,30,70,217,553,1540,3349
Cocolabs-SAS_cocorico,Review_story_processado.txt,0.4276,36,58,265,459,1712,2698
coreshop_CoreShop,country_condition_2_story_processado.txt,0.665,37,18,306,126,1951,768
coreshop_CoreShop,discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt,0.6913,37,14,284,109,1564,629
coreshop_CoreShop,discount_percent_gross_action_story_processado.txt,0.689,35,11,273,88,1601,511
coreshop_CoreShop,not_discountable_discount_amount_action_story_processado.txt,0.6023,35,10,274,81,1618,449
cross-solution_YAWIK,apply_story_processado.txt,0.4086,37,42,295,249,1869,1518
cross-solution_YAWIK,insert_story_processado.txt,0.5442,36,33,265,198,1781,1256
cross-solution_YAWIK,login_story_processado.txt,0.6706,34,33,234,137,1485,807
cross-solution_YAWIK,update_2_story_processado.txt,0.5328,36,70,254,373,1714,2294
DataDog_datadog-api-client-typescript,dora_metrics_story_processado.txt,0.4468,31,199,188,1076,1250,9709
DataDog_datadog-api-client-typescript,gcp_integration_1_story_processado.txt,0.4229,38,223,299,1319,2032,13026
DataDog_datadog-api-client-typescript,logs_custom_destinations_story_processado.txt,0.4082,30,291,252,2001,1772,21828
DataDog_datadog-api-client-typescript,service_level_objectives_1_story_processado.txt,0.5213,32,82,243,378,1401,3134
engineyard_rails_dev_directory,admin_services_story_processado.txt,0.5075,29,19,211,99,1402,562
engineyard_rails_dev_directory,admin_top_cities_story_processado.txt,0.6334,35,19,310,99,1714,606
engineyard_rails_dev_directory,dashboard_story_processado.txt,0.5933,29,12,218,74,1445,456
engineyard_rails_dev_directory,pages_story_processado.txt,0.4318,34,19,259,104,1568,717
FinAegis_core-banking-prototype-laravel,basket_management_story_processado.txt,0.5592,32,41,238,220,1514,1346
FinAegis_core-banking-prototype-laravel,batch_processing_story_processado.txt,0.2483,34,99,238,477,1580,3381
FinAegis_core-banking-prototype-laravel,financial_institutions_application_story_processado.txt,0.4871,34,61,243,339,1947,2483
FinAegis_core-banking-prototype-laravel,governance_voting_story_processado.txt,0.7265,29,84,208,412,1410,2700
GSA_search-gov,admin_center_clicks_and_queries_story_processado.txt,0.6365,29,24,269,164,1653,999
GSA_search-gov,bulk_affiliate_styles_upload_story_processado.txt,0.6815,35,16,262,126,1569,857
GSA_search-gov,odie_url_source_update_story_processado.txt,0.7104,39,27,342,231,2316,1427
GSA_search-gov,search_elastic_story_processado.txt,0.5495,32,7,289,39,1850,255
inventorypapa_free-dropshipping-automation-software,browsing_inventory_story_processado.txt,0.7175,29,13,221,64,1532,382
inventorypapa_free-dropshipping-automation-software,product_review_validation_1_story_processado.txt,0.614,34,19,264,108,1706,650
inventorypapa_free-dropshipping-automation-software,seeing_orders_statistics_on_customer_details_page_story_processado.txt,0.6151,30,33,251,260,1677,1711
inventorypapa_free-dropshipping-automation-software,sorting_payment_methods_by_position_story_processado.txt,0.665,27,24,250,146,1613,872
irontec_ivozprovider,getExternalCallFilterBlackList_story_processado.txt,0.6411,31,22,277,131,1750,920
irontec_ivozprovider,postHuntGroupMember_story_processado.txt,0.5393,47,23,403,134,2184,916
irontec_ivozprovider,removeDomains_2_story_processado.txt,0.6594,35,9,304,44,1914,308
irontec_ivozprovider,removeSpecialNumber_1_story_processado.txt,0.6251,33,9,292,45,1744,325
IRPTeam_IRP,_00503TaxRatesCatalog_story_processado.txt,0.4445,35,52,293,417,1694,2666
IRPTeam_IRP,_00505CurrencyMovementType_story_processado.txt,0.4785,39,22,377,143,2483,947
IRPTeam_IRP,_00509PaymentTermsCatalog_story_processado.txt,0.4378,36,10,285,70,1825,490
IRPTeam_IRP,_0296Unbundling_story_processado.txt,0.4518,33,229,307,1548,2122,10157
karma-runner_karma,cli_story_processado.txt,0.7356,29,54,218,172,1440,1186
karma-runner_karma,headers_story_processado.txt,0.4323,28,6,256,18,1847,115
karma-runner_karma,launcher-error_story_processado.txt,0.6666,34,6,251,17,1503,109
karma-runner_karma,tag_story_processado.txt,0.8068,36,27,294,97,1772,640
ledgersmb_LedgerSMB,chart-of-accounts_story_processado.txt,0.4564,37,101,287,881,1884,5255
ledgersmb_LedgerSMB,in-arrears-purchase_story_processado.txt,0.6297,33,23,231,118,1579,662
ledgersmb_LedgerSMB,login_story_processado.txt,0.4985,32,17,213,61,1390,377
ledgersmb_LedgerSMB,search-batches_story_processado.txt,0.618,29,50,266,365,1858,2246
MetaMask_metamask-mobile,ColdStartToOnboardingScreenIOS_story_processado.txt,0.7744,30,6,232,32,1348,199
MetaMask_metamask-mobile,NetworkFlow_story_processado.txt,0.5685,35,103,291,743,1823,4434
MetaMask_metamask-mobile,RequestTokenFlow_story_processado.txt,0.4588,29,76,222,566,1344,3157
MetaMask_metamask-mobile,SendEthGasApiDown_story_processado.txt,0.3937,40,24,307,182,1925,1074
noosfero_noosfero,edit_block_of_links_story_processado.txt,0.3207,36,10,275,41,1662,310
noosfero_noosfero,forum_story_processado.txt,0.4476,29,168,210,722,1261,4866
noosfero_noosfero,manage_enterprises_story_processado.txt,0.5577,31,19,236,87,1642,575
noosfero_noosfero,status_story_processado.txt,0.5965,34,90,275,496,1710,3255
parti-renaissance_espace-adherent,agoras_story_processado.txt,0.5778,34,91,251,577,1519,4086
parti-renaissance_espace-adherent,scopes_story_processado.txt,0.4616,29,68,234,323,1445,2296
parti-renaissance_espace-adherent,user_controller_donation_story_processado.txt,0.3288,28,16,181,115,1239,742
parti-renaissance_espace-adherent,zones_story_processado.txt,0.6479,31,29,256,203,1595,1224
SFDigitalServices_sf-dahlia-web,custom_educator_listing_1_story_processado.txt,0.7636,40,45,319,406,2070,2349
SFDigitalServices_sf-dahlia-web,custom_educator_listing_2_story_processado.txt,0.7047,38,66,330,575,2203,3336
SFDigitalServices_sf-dahlia-web,nrhp_story_processado.txt,0.5819,32,60,300,504,1943,3028
SFDigitalServices_sf-dahlia-web,sign_in_while_applying_story_processado.txt,0.6459,39,220,318,1884,2033,10654
sharetribe_sharetribe,admin_edits_welcome_email_story_processado.txt,0.6677,38,38,311,248,2036,1581
sharetribe_sharetribe,search_story_processado.txt,0.5901,33,80,261,399,1681,2465
sharetribe_sharetribe,user_checks_inbox_story_processado.txt,0.5347,36,90,256,726,1484,4716
sharetribe_sharetribe,user_filters_listings_by_custom_fields_story_processado.txt,0.6856,37,97,301,554,2030,3303
Sylius_Sylius,choosing_province_for_country_story_processado.txt,0.6057,36,51,279,405,1784,2643
Sylius_Sylius,returning_from_addressing_step_to_shop_homepage_story_processado.txt,0.5907,36,8,295,44,1709,254
Sylius_Sylius,seeing_shipping_method_when_all_units_match_to_shipping_category_story_processado.txt,0.6439,29,55,251,373,1721,2308
Sylius_Sylius,sorting_payment_methods_by_position_story_processado.txt,0.7065,25,24,229,148,1490,886
uyuni-project_uyuni,min_bootstrap_negative_story_processado.txt,0.4466,35,72,268,508,1763,3025
uyuni-project_uyuni,min_config_state_channel_story_processado.txt,0.5921,32,209,329,1391,2081,8843
uyuni-project_uyuni,proxy_story_processado.txt,0.5688,34,86,245,408,1811,2748
uyuni-project_uyuni,srv_create_fake_repositories_story_processado.txt,0.6128,34,175,258,968,1637,7210
vegaprotocol_vega,0026-AUCT-029_story_processado.txt,0.758,35,16,274,121,1902,835
vegaprotocol_vega,0032-PRIM-025_story_processado.txt,0.7942,32,13,285,106,1858,710
vegaprotocol_vega,0068-MATC-073_story_processado.txt,0.3611,29,5,247,33,1379,199
vegaprotocol_vega,trading_fees_spot_story_processado.txt,0.4465,32,62,224,588,1406,3873
