repositorio,arquivo,similaridade
3scale_porta,activation_scenario_1.txt,0.4125
api-platform_core,absolute_url_scenario_1.txt,0.145
camptocamp_oerpscenario,account_bank_statement_scenario_1.txt,0.5009
cross-solution_YAWIK,apply_scenario_3.txt,0.3185
FinAegis_core-banking-prototype-laravel,basket_management_scenario_4.txt,0.4181
inventorypapa_free-dropshipping-automation-software,browsing_inventory_scenario_2.txt,0.5614
karma-runner_karma,cli_scenario_4.txt,0.3578
noosfero_noosfero,edit_block_of_links_scenario_2.txt,0.1282
SFDigitalServices_sf-dahlia-web,custom_educator_listing_1_scenario_1.txt,0.3384
Sylius_Sylius,choosing_province_for_country_scenario_1.txt,0.4297
