repositorio,arquivo,similaridade,qtd_cenarios
3scale_porta,activation_story_processado.txt,0.4004,4
3scale_porta,cinstances_story_processado.txt,0.2243,3
3scale_porta,index_13_story_processado.txt,0.531,11
3scale_porta,update_story_processado.txt,0.8914,2
AgileVentures_LocalSupport,admin_promoting_site_story_processado.txt,0.5193,1
AgileVentures_LocalSupport,category_import_story_processado.txt,0.0,1
AgileVentures_LocalSupport,edit_donation_info_story_processado.txt,0.3407,1
AgileVentures_LocalSupport,edit_own_charity_profile_story_processado.txt,0.2928,14
alphagov_whitehall,policy-groups_story_processado.txt,0.6539,2
alphagov_whitehall,review_reminder_story_processado.txt,0.6086,4
alphagov_whitehall,topical_events_story_processado.txt,0.9138,4
alphagov_whitehall,unwithdrawing-withdrawn-documents_story_processado.txt,0.393,1
api-platform_core,absolute_url_story_processado.txt,0.1975,4
api-platform_core,collection_attributes_story_processado.txt,0.2015,1
api-platform_core,input_output_2_story_processado.txt,0.4041,2
api-platform_core,numeric_filter_story_processado.txt,0.1627,4
billabear_billabear,confirm_email_story_processado.txt,0.3602,2
billabear_billabear,create_product_1_story_processado.txt,0.4938,5
billabear_billabear,generate_for_payment_story_processado.txt,0.3629,1
billabear_billabear,limit_customer_story_processado.txt,0.5367,2
camptocamp_oerpscenario,account_bank_statement_story_processado.txt,0.6052,2
camptocamp_oerpscenario,pay_invoice_story_processado.txt,0.4093,1
camptocamp_oerpscenario,sale_story_processado.txt,0.5676,3
camptocamp_oerpscenario,samples_story_processado.txt,0.6886,8
Cocolabs-SAS_cocorico,Breadcrumb_story_processado.txt,0.4747,3
Cocolabs-SAS_cocorico,ListingSearch_story_processado.txt,0.3941,5
Cocolabs-SAS_cocorico,Message_story_processado.txt,0.3424,5
Cocolabs-SAS_cocorico,Review_story_processado.txt,0.093,3
coreshop_CoreShop,country_condition_2_story_processado.txt,0.5941,2
coreshop_CoreShop,discount_percent_action_tax_100_and_free_shipping_and_gross_values_story_processado.txt,0.618,1
coreshop_CoreShop,discount_percent_gross_action_story_processado.txt,0.5816,1
coreshop_CoreShop,not_discountable_discount_amount_action_story_processado.txt,0.5833,1
cross-solution_YAWIK,apply_story_processado.txt,0.4287,2
cross-solution_YAWIK,insert_story_processado.txt,0.7652,2
cross-solution_YAWIK,login_story_processado.txt,0.1811,4
cross-solution_YAWIK,update_2_story_processado.txt,0.3318,5
DataDog_datadog-api-client-typescript,dora_metrics_story_processado.txt,0.1798,21
DataDog_datadog-api-client-typescript,gcp_integration_1_story_processado.txt,0.1918,22
DataDog_datadog-api-client-typescript,logs_custom_destinations_story_processado.txt,0.1268,19
DataDog_datadog-api-client-typescript,service_level_objectives_1_story_processado.txt,0.4109,8
engineyard_rails_dev_directory,admin_services_story_processado.txt,0.5298,1
engineyard_rails_dev_directory,admin_top_cities_story_processado.txt,0.5786,1
engineyard_rails_dev_directory,dashboard_story_processado.txt,0.2196,1
engineyard_rails_dev_directory,pages_story_processado.txt,0.3397,1
FinAegis_core-banking-prototype-laravel,basket_management_story_processado.txt,0.4362,4
FinAegis_core-banking-prototype-laravel,batch_processing_story_processado.txt,0.0135,10
FinAegis_core-banking-prototype-laravel,financial_institutions_application_story_processado.txt,0.211,5
FinAegis_core-banking-prototype-laravel,governance_voting_story_processado.txt,0.8273,9
GSA_search-gov,admin_center_clicks_and_queries_story_processado.txt,0.4308,1
GSA_search-gov,bulk_affiliate_styles_upload_story_processado.txt,0.6173,1
GSA_search-gov,odie_url_source_update_story_processado.txt,0.567,1
GSA_search-gov,search_elastic_story_processado.txt,0.3793,1
inventorypapa_free-dropshipping-automation-software,browsing_inventory_story_processado.txt,0.6903,2
inventorypapa_free-dropshipping-automation-software,product_review_validation_1_story_processado.txt,0.6481,2
inventorypapa_free-dropshipping-automation-software,seeing_orders_statistics_on_customer_details_page_story_processado.txt,0.545,4
inventorypapa_free-dropshipping-automation-software,sorting_payment_methods_by_position_story_processado.txt,0.7493,3
irontec_ivozprovider,getExternalCallFilterBlackList_story_processado.txt,0.2715,2
irontec_ivozprovider,postHuntGroupMember_story_processado.txt,0.2144,2
irontec_ivozprovider,removeDomains_2_story_processado.txt,0.3856,1
irontec_ivozprovider,removeSpecialNumber_1_story_processado.txt,0.275,1
IRPTeam_IRP,_00503TaxRatesCatalog_story_processado.txt,0.3096,1
IRPTeam_IRP,_00505CurrencyMovementType_story_processado.txt,0.4464,1
IRPTeam_IRP,_00509PaymentTermsCatalog_story_processado.txt,0.4507,1
IRPTeam_IRP,_0296Unbundling_story_processado.txt,0.2273,8
karma-runner_karma,cli_story_processado.txt,0.5177,9
karma-runner_karma,headers_story_processado.txt,0.2566,1
karma-runner_karma,launcher-error_story_processado.txt,0.4596,1
karma-runner_karma,tag_story_processado.txt,0.6606,4
ledgersmb_LedgerSMB,chart-of-accounts_story_processado.txt,0.5217,4
ledgersmb_LedgerSMB,in-arrears-purchase_story_processado.txt,0.4334,3
ledgersmb_LedgerSMB,login_story_processado.txt,0.4116,3
ledgersmb_LedgerSMB,search-batches_story_processado.txt,0.612,4
MetaMask_metamask-mobile,ColdStartToOnboardingScreenIOS_story_processado.txt,0.65,1
MetaMask_metamask-mobile,NetworkFlow_story_processado.txt,0.7427,4
MetaMask_metamask-mobile,RequestTokenFlow_story_processado.txt,0.2857,3
MetaMask_metamask-mobile,SendEthGasApiDown_story_processado.txt,0.3078,1
noosfero_noosfero,edit_block_of_links_story_processado.txt,0.1838,1
noosfero_noosfero,forum_story_processado.txt,0.5387,12
noosfero_noosfero,manage_enterprises_story_processado.txt,0.6734,2
noosfero_noosfero,status_story_processado.txt,0.3705,5
parti-renaissance_espace-adherent,agoras_story_processado.txt,0.5497,12
parti-renaissance_espace-adherent,scopes_story_processado.txt,0.3647,8
parti-renaissance_espace-adherent,user_controller_donation_story_processado.txt,0.1506,1
parti-renaissance_espace-adherent,zones_story_processado.txt,0.5081,3
SFDigitalServices_sf-dahlia-web,custom_educator_listing_1_story_processado.txt,0.5081,2
SFDigitalServices_sf-dahlia-web,custom_educator_listing_2_story_processado.txt,0.3439,2
SFDigitalServices_sf-dahlia-web,nrhp_story_processado.txt,0.27,2
SFDigitalServices_sf-dahlia-web,sign_in_while_applying_story_processado.txt,0.369,12
sharetribe_sharetribe,admin_edits_welcome_email_story_processado.txt,0.5352,2
sharetribe_sharetribe,search_story_processado.txt,0.1274,7
sharetribe_sharetribe,user_checks_inbox_story_processado.txt,0.3096,5
sharetribe_sharetribe,user_filters_listings_by_custom_fields_story_processado.txt,0.0533,2
Sylius_Sylius,choosing_province_for_country_story_processado.txt,0.57,4
Sylius_Sylius,returning_from_addressing_step_to_shop_homepage_story_processado.txt,0.4588,1
Sylius_Sylius,seeing_shipping_method_when_all_units_match_to_shipping_category_story_processado.txt,0.7023,5
Sylius_Sylius,sorting_payment_methods_by_position_story_processado.txt,0.7582,3
uyuni-project_uyuni,min_bootstrap_negative_story_processado.txt,0.0592,5
uyuni-project_uyuni,min_config_state_channel_story_processado.txt,0.7405,17
uyuni-project_uyuni,proxy_story_processado.txt,0.6745,13
uyuni-project_uyuni,srv_create_fake_repositories_story_processado.txt,0.6077,15
vegaprotocol_vega,0026-AUCT-029_story_processado.txt,0.8227,2
vegaprotocol_vega,0032-PRIM-025_story_processado.txt,0.906,1
vegaprotocol_vega,0068-MATC-073_story_processado.txt,0.3563,1
vegaprotocol_vega,trading_fees_spot_story_processado.txt,0.432,1
