Scenario 3: Admin user can edit community details transaction agreement
  Given  this community has transaction agreement in use
  When  I go to the admin view of community "test"
  And  I fill in "community_customizations[en][transaction_agreement_label]" with "This is a label"
  And  I fill in "community_customizations[en][transaction_agreement_content]" with "This is a content"
  And  I press submit
  Then  I should see "This is a label" in the "community_customizations[en][transaction_agreement_label]" input
  Then  I should see "This is a content" in the "community_customizations[en][transaction_agreement_content]" input
  When  I fill in "community_customizations[en][transaction_agreement_label]" with "300" count of symbols
  And  I press submit
  Then  I should see "255" count of symbols in the "community_customizations[en][transaction_agreement_label]" input

