Scenario 5: Partial order filling
  Given  the following user exists:
  And  the following account exists:
  And  the following asset balances exist for account "bob@example.com":
  And  I am logged in as "alice@example.com"
  And  I have placed a limit buy order for "1.0" "BTC" at "48000" "EUR"
  When  user "bob@example.com" places a market sell order for "0.3" "BTC" for "EUR"
  Then  the sell order should be fully filled
  And  the buy order should be partially filled with "0.3" "BTC"
  And  the buy order should have status "partially_filled"
  And  the remaining amount for the buy order should be "0.7" "BTC"

