Scenario 4: Registration with existing email
  Given  I am on the registration page
  And  a user exists with email "existing@example.com"
  When  I fill in "Name" with "Jane Doe"
  And  I fill in "Email" with "existing@example.com"
  And  I fill in "Password" with "Password123!"
  And  I fill in "Confirm Password" with "Password123!"
  And  I check "I agree to the Terms of Service"
  And  I press "Register"
  Then  I should see "The email has already been taken"
  And  I should remain on the registration page

