Scenario 2: Add payments to an existing batch
  Given  a vendor "Vendor B"
  And  an unpaid AP transaction with these values:
  And  a payment batch with these properties:
  When  I navigate the menu and select the item at "Cash & Banking > Vouchers > Payments"
  Then  I should see the Create New Batch screen
  And  I should see a Batch with these values:
  When  I click on the Batch with Batch Number "B-1001"
  Then  I should see the Filtering Payments screen
  And  I should see the title "Filtering Payments"
  When  I enter "2001" into "Start Source Numbering At"
  And  I press "Continue"
  Then  I should see the Payments Detail screen
  And  I expect to see the 'date_paid' value of '2018-01-01'
  When  I select the payment line with these values:
  And  I update the page
  Then  I should see the Payments Detail screen
  And  I expect to see the 'grand_total' value of '25.00'
  And  I expect to see the 'grand_total_currency' value of 'USD'
  When  I press "Post"
  Then  I should see the Payment Batch Summary screen
  When  I press "Save Batch"
  Then  I should see the Filtering Payments screen

