Scenario 6: Add a 'manage users' admin to a company
  Given  an existing company named "setup-test"
  And  a nonexistent user named "the-admin"
  When  I navigate to the setup login page
  And  I log into the company using the super-user credentials
  Then  I should see the setup admin page
  When  I request to add a user
  Then  I should see the user creation page
  When  I create a user with these values:
  Then  I should see the setup confirmation page
  When  I navigate to the setup login page
  And  I log into the company using the super-user credentials
  Then  I should see the setup admin page
  When  I request the users list
  Then  I should see the setup user list page
  And  I should see the table of available users:
  When  I request the user overview for "the-admin"
  Then  I should see the edit user page
  And  I should see only these permission checkboxes checked:

