Scenario 4: Edit user in a company
  Given  an existing company named "setup-test"
  When  I navigate to the setup login page
  And  I log into the company using the super-user credentials
  Then  I should see the setup admin page
  When  I request the users list
  Then  I should see the setup user list page
  And  I should see the table of available users:
  When  I request the user overview for "the-user"
  Then  I should see the edit user page
  And  I should see all permission checkboxes checked

