Scenario 23: Search for the results with file extension
  Tags: ['@javascript', '@a11y']
  Given  the following BingV7 Affiliates exist:
  And  the following IndexedDocuments exist:
  When  I am on bar.gov's redesigned search page
  And  I search for "PDF" in the redesigned search page
  Then  I should see exactly "2" web search results
  And  I should see "The PDF document"
  And  I should see "p.whitehouse.gov/hour.pdf"
  And  I should see "Within the last hour PDF on item"
  And  I should not see pagination
  And  I should see "2 results"

