Scenario 17: Search with too many tabs and multiple related sites
  Tags: ['@javascript', '@a11y']
  Given  the following BingV7 Affiliates exist:
  And  affiliate "bar.gov" has the following document collections:
  And  the following Connections exist for the affiliate "bar.gov":
  When  I am on bar.gov's redesigned search page
  Then  I should see "Everything"
  And  I should see "Topics"
  And  I should see "Very very long colllection name one"
  And  I should not see "Related Searches"
  And  I press "More"
  And  I should see "Very very long colllection name two"
  And  I should see "View topic"
  And  I should see "Other Site"

