Scenario 6: Handle duplicate address entry
  Tags: ['@sample-feature', '@petnames', '@duplicate']
  Given  I am on the Sample Feature screen
  And  I have an existing pet name "Alice" for address "0x086473d15475Cf20722F5cA7D8d4adfa39Dc6E05"
  When  I manually enter the same address "0x086473d15475Cf20722F5cA7D8d4adfa39Dc6E05"
  And  I enter "Arthur" in the Name field
  And  I tap on the "Add Pet Name" button
  Then  I should see an alert with title "Duplicate Address"
  And  the alert should have message about updating the existing entry
  And  I should see "Cancel" and "Update" buttons
  When  I tap "Update"
  Then  the pet name should be updated to "Arthur"

