arquivo,total_erros,tipos_erro,mensagens
reqnroll_Reqnroll\ambiguous_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\attachments_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - It is sometimes useful to take a screenshot while a scenario runs or capture some logs [*. Cucumber lets you `attach` arbitrary files during execution, and you can specify a content type for the contents. Formatters can then render these attachments in reports. Attachments must have a body and a content type. Beware that some formatters such as @cucumber/react use the media type to determine how to display an attachment. When  the string ""hello"" is attached as ""application/octet-stream""*]"
reqnroll_Reqnroll\backgrounds_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Though not recommended, Backgrounds can be used to share context steps between Scenarios [*. The Background steps are prepended to the steps in each Scenario when they are compiled to Pickles. Only one Background at the Feature level is supported.*]"
reqnroll_Reqnroll\Calculator_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\cdata_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\ContextInjection_story.txt,1,1 - well_formed.no_means,1 - Add what you want to achieve
reqnroll_Reqnroll\data_tables_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Data Tables can be placed underneath a step and will be passed as the last argument to the step definition [*. They can be used to represent richer data structures, and can be transformed to other data-types.*]"
reqnroll_Reqnroll\doc_strings_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Doc strings are a way to supply long, sometimes multi-line, text to a step [*. They are passed as the last argument to the step definition. Three double quotes above and below are the standard delimiter for doc strings. Given  a doc string: Backticks can also be used, like Markdown, but are less widely supported by editors. Given  a doc string: The media type can be optionally specified too, following the opening delimiter. Given  a doc string:*]"
reqnroll_Reqnroll\empty_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Sometimes we want to quickly jot down a new scenario without specifying any actual steps for what should be executed [*. In this instance we want to stipulate what should / shouldn't run and what the output is.*]
reqnroll_Reqnroll\examples_tables_attachment_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\examples_tables_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Sometimes it can be desirable to run the same scenario multiple times with different data each time  [*- this can be done by placing an Examples table underneath a Scenario, and use <placeholders> in the Scenario which match the table headers. The Scenario Outline name can also be parameterized. The name of the resulting pickle will have the <placeholder> replaced with the value from the examples table.*]"
reqnroll_Reqnroll\examples_undefined_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - The replacement pattern used in scenario outlines does not influence how steps are matched [*. The replacement pattern is replaced, and step definitions are matched against that text. Because of that the following results in one undefined step for each example and a suggested snippet to implement it.*]"
reqnroll_Reqnroll\ExternalFeature2_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\ExternalSteps_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\global_hooks_afterall_error_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Errors in AfterAll hooks cause the whole test run to fail [*. The remaining AfterAll hooks will still run, in an effort to clean up resources as well as possible.*]"
reqnroll_Reqnroll\global_hooks_attachments_story.txt,2,1 - well_formed.no_means; 2 - well_formed.no_role,1 - Add what you want to achieve; 2 - Add for who this story is
reqnroll_Reqnroll\global_hooks_beforeall_error_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Errors in BeforeAll hooks cause the whole test run to fail [*. Test cases will not be executed. The remaining BeforeAll hooks will still run, along with all AfterAll hooks, in an effort to clean up resources as well as possible.*]"
reqnroll_Reqnroll\global_hooks_story.txt,4,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation; 4 - uniform.uniform,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Hooks can be at the test run level, so they run once before or after all test cases [*. AfterAll hooks are executed in reverse order of definition.*]; 4 - Use the most common template: So"
reqnroll_Reqnroll\HookParameterInjection_story.txt,3,1 - well_formed.no_means; 2 - minimal.punctuation; 3 - minimal.brackets,1 - Add what you want to achieve; 2 - As a developer I would like to get my hook parameters automatically injected So that I can use the appropriate FeatureContext/ScenarioContext or other registered services in my hook implementation Note [*: the parameters of the BeforeScenario/AfterScenario hook are resolved from the scenario container Given  there is a Reqnroll project And  there is a scenario And  all steps are bound and pass And  the following hooks When  I execute the tests Then  the execution summary should contain Note: the parameters of the BeforeFeature/AfterFeature hook are resolved from the feature container Given  there is a Reqnroll project And  there is a scenario And  all steps are bound and pass And  the following hooks When  I execute the tests Then  the execution summary should contain Note: the parameters of the BeforeFeature/AfterFeature hook are resolved from the test run (global) container Given  there is a Reqnroll project And  there is a scenario And  all steps are bound and pass And  the following hooks When  I execute the tests Then  the execution summary should contain*]; 3 - As a developer I would like to get my hook parameters automatically injected So that I can use the appropriate FeatureContext/ScenarioContext or other registered services in my hook implementation Note: the parameters of the BeforeScenario/AfterScenario hook are resolved from the scenario container Given  there is a Reqnroll project And  there is a scenario And  all steps are bound and pass And  the following hooks When  I execute the tests Then  the execution summary should contain Note: the parameters of the BeforeFeature/AfterFeature hook are resolved from the feature container Given  there is a Reqnroll project And  there is a scenario And  all steps are bound and pass And  the following hooks When  I execute the tests Then  the execution summary should contain Note: the parameters of the BeforeFeature/AfterFeature hook are resolved from the test run  [*(global)*]  container Given  there is a Reqnroll project And  there is a scenario And  all steps are bound and pass And  the following hooks When  I execute the tests Then  the execution summary should contain
reqnroll_Reqnroll\HookSupport_story.txt,1,1 - well_formed.no_means,1 - Add what you want to achieve
reqnroll_Reqnroll\hooks_attachment_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Hooks are special steps that run before or after each scenario's steps [*. Like regular steps, it is possible to attach a file to the output.*]"
reqnroll_Reqnroll\hooks_conditional_story.txt,3,1 - well_formed.no_means; 2 - well_formed.no_role; 3 - minimal.punctuation,"1 - Add what you want to achieve; 2 - Add for who this story is; 3 - Hooks are special steps that run before or after each scenario's steps [*. They can also conditionally target specific scenarios, using tag expressions.*]"
