Scenario 1: Add a new surcharge rule with 500 euro for all products
  Given  adding a cart price rule named "surcharge"
  And  the cart rule is active
  And  the cart rule is a voucher rule with code "asdf"
  And  the cart rule has a action surcharge with 500 in currency "EUR" off
  And  I apply the voucher code "asdf" to my cart
  Then  the cart discount should be "60000" including tax
  Then  the cart discount should be "50000" excluding tax
  Then  the cart total tax should be "12000"
  Then  the cart item taxes should be "12000"
  Then  the cart total should be "60000" excluding tax
  Then  the cart total should be "72000" including tax

