Scenario 1: Seeing order items and theirs quantity on the order summary page
  Tags: ['@ui', '@api']
  When  I add 4 products "Lannister Coat" to the cart
  And  I add 2 products "Targaryen Jacket" to the cart
  And  I add 3 products "Stark T-Shirt" to the cart
  And  I go to the checkout addressing step
  And  I define the billing address as "Ankh Morpork", "Frost Alley", "90210", "United States" for "Jon Snow"
  And  I proceed with "Free" shipping method and "Offline" payment
  Then  I should be on the checkout summary step
  And  I should have 4 "Lannister Coat" products in the cart
  And  I should have 2 "Targaryen Jacket" products in the cart
  And  I should have 3 "Stark T-Shirt" products in the cart

