Scenario 1: Adding a new channel with shop billing data
  Tags: ['@ui', '@api']
  When  I want to create a new channel
  And  I specify its code as "MOBILE"
  And  I name it "Mobile channel"
  And  I choose "Euro" as the base currency
  And  I choose "English (United States)" as a default locale
  And  I select the "Order items based" as tax calculation strategy
  And  I specify company as "Ragnarok"
  And  I specify tax ID as "1100110011"
  And  I specify shop billing address as "Pacific Coast Hwy", "90806" "Los Angeles", "United States"
  And  I add it
  Then  I should be notified that it has been successfully created
  And  the channel "Mobile channel" should appear in the registry

