Scenario 4: Registering a guest account
  Tags: ['@ui', '@api']
  Given  there is a customer "goodman@gmail.com" that placed an order "#001"
  When  I want to register a new account
  And  I specify the first name as "Saul"
  And  I specify the last name as "Goodman"
  And  I specify the email as "goodman@gmail.com"
  And  I specify the password as "heisenberg"
  And  I confirm this password
  And  I register this account
  Then  I should be notified that new account has been successfully created
  But  I should not be logged in

