Scenario 4: Being alerted about no shipping method available
  Tags: ['@ui', '@api']
  Given  there is a zone "The Rest of the World" containing all other countries
  And  the store has "Dragon Post" shipping method with "$30.00" fee for the rest of the world
  And  the store has disabled "Raven Post" shipping method with "$10.00" fee
  And  I have product "Targaryen T-Shirt" in the cart
  When  I am at the checkout addressing step
  And  I specify the billing address as "Ankh Morpork", "Frost Alley", "90210", "United States" for "Jon Snow"
  And  I complete the addressing step
  Then  I should not be able to select "Raven Post" shipping method
  And  I should not be able to select "Dragon Post" shipping method
  And  I should be informed that my order cannot be shipped to this address

