Scenario 2: Adding a new shipping method with total weight less than or equal rule
  Tags: ['@ui', '@javascript']
  When  I want to create a new shipping method
  And  I specify its code as "FED_EX_CARRIER"
  And  I specify its position as 0
  And  I name it "FedEx Carrier" in "English (United States)"
  And  I define it for the zone named "United States"
  And  I choose "Flat rate per shipment" calculator
  And  I specify its amount as 50 for "Web-US" channel
  And  I add the "Total weight less than or equal" rule configured with "20"
  And  I add it
  Then  I should be notified that it has been successfully created
  And  the shipping method "FedEx Carrier" should appear in the registry

