Scenario 2: Statistics include only fulfilled orders that were not cancelled
  Tags: ['@ui']
  Given  4 customers have fulfilled 4 orders placed for total of "$5241.00"
  And  then 2 more customers have placed 2 orders for total of "$459.00"
  And  2 customers have added products to the cart for total of "$3450.00"
  And  a single customer has placed an order for total of "$1000.00"
  But  the customer cancelled this order
  When  I open administration dashboard
  Then  I should see 4 new orders
  And  I should see 9 new customers
  And  there should be total sales of "$5,241.00"
  And  the average order value should be "$1,310.25"

