Scenario 3: Create a new cart and add a product with a price ruleand calculate item totals
  Given  adding a product specific price rule to product "T-Shirt" named "discount-percent"
  And  the specific price rule is active
  And  the specific price rule has a action discount-price of 15 in currency "EUR"
  And  I add the product "T-Shirt" to my cart
  Then  the cart item with product "T-Shirt" should have discount-price with "1500" including tax
  Then  the cart item with product "T-Shirt" should have discount-price with "1250" excluding tax
  Then  the cart item with product "T-Shirt" should have discount with "0" including tax
  Then  the cart item with product "T-Shirt" should have discount with "0" excluding tax
  Then  the cart item with product "T-Shirt" should have retail-price with "2000" including tax
  Then  the cart item with product "T-Shirt" should have retail-price with "1667" excluding tax
  Then  the cart item with product "T-Shirt" should have total with "1500" including tax
  Then  the cart item with product "T-Shirt" should have total with "1250" excluding tax

