Scenario 4: Create a new order and add a product when I ship to a different country
  Given  I add the product "T-Shirt" to my cart
  And  the cart ships to customer "some-customer@something.com" address with postcode "04600"
  And  the cart invoices to customer "some-customer@something.com" address with postcode "4600"
  And  I create an order from my cart
  Then  there should be one product in my order
  And  the order total should be "2000" including tax
  And  the order total should be "2000" excluding tax
  And  the order subtotal should be "2000" including tax
  And  the order subtotal should be "2000" excluding tax
  And  the notification rule for "order" should have been fired

