Scenario 1: Add a new gift rule with a free product with a unit
  Given  adding a cart price rule named "gift"
  And  the cart rule is active
  And  the cart rule is a voucher rule with code "FreeProduct123"
  And  the cart rule has a action gift-product with product "Jacket"
  And  I add the product "Shoe" to my cart
  And  I apply the voucher code "FreeProduct123" to my cart
  Then  the cart discount should be "0" including tax
  And  the cart total should be "10000" including tax
  And  the product "Jacket" should be in my cart as gift
  And  the product "Jacket" in my cart should have unit "Pieces"

