Scenario 3: Add a new catalog discount rule with 20 euro off for products in "Shoes" category
  Given  adding a product price rule named "discount"
  And  the price rule is active
  And  the price rule has a action discount with 20 in currency "EUR" off
  And  the price rule has a condition categories with category "Shoes"
  Then  the price rule should be valid for product "Shoe"
  And  the price rule should be valid for product "Shoe 2"
  And  the price rule should be invalid for product "Jacket"
  And  the product "Shoe" should have the prices, price: "8000" and retail-price: "10000" and discount: "2000"
  And  the product "Shoe 2" should have the prices, price: "13000" and retail-price: "15000" and discount: "2000"
  And  the product "Jacket" should have the prices, price: "40000" and retail-price: "40000" and discount: "0"

