Scenario 3: Create a new cart and add a product with a price rule and calculate item totals
  Given  adding a product specific price rule to product "T-Shirt" named "discount-price"
  And  the specific price rule is active
  And  the specific price rule has a action discount-price of 10 in currency "EUR"
  And  I add the product "T-Shirt" to my cart
  Then  the cart item with product "T-Shirt" should have converted discount-price with "2400" including tax
  Then  the cart item with product "T-Shirt" should have converted discount-price with "2000" excluding tax
  Then  the cart item with product "T-Shirt" should have discount-price with "1200" including tax
  Then  the cart item with product "T-Shirt" should have discount-price with "1000" excluding tax
  Then  the cart item with product "T-Shirt" should have retail-price with "2400" including tax
  Then  the cart item with product "T-Shirt" should have retail-price with "2000" excluding tax
  Then  the cart item with product "T-Shirt" should have converted retail-price with "4800" including tax
  Then  the cart item with product "T-Shirt" should have converted retail-price with "4000" excluding tax
  Then  the cart item with product "T-Shirt" should have total with "1200" including tax
  Then  the cart item with product "T-Shirt" should have total with "1000" excluding tax
  Then  the cart item with product "T-Shirt" should have converted total with "2400" including tax
  Then  the cart item with product "T-Shirt" should have converted total with "2000" excluding tax

