Scenario 1: View product with quantity price rule
  Given  the site has a product "T-Shirt" priced at 10000
  And  the product has the tax rule group "AT"
  And  the product is active and published and available for store "Austria"
  And  adding a quantity price rule to this product named "default-product-quantity-price-rule" with calculation-behaviour "volume"
  And  the quantity price rule is active
  And  the quantity price rule has a range starting from 5 with behaviour percentage-decrease of 10%
  When  I open the product's detail page
  Then  I should see one quantity price rule with price "€108.00"
  And  I should see the quantity price rule 1 with price "€108.00"
  And  I should see the quantity price rule 1 with excl price "€90.00"
  And  I should see the quantity price rule 1 starting from "5"

