Scenario 3: Assure LP orders never trade on entry, even with spread of 1 tick and extremely small LP price range
  Given  the parties deposit on asset's general account the following amount:
  And  the parties submit the following liquidity provision:
  And  the parties place the following pegged iceberg orders:
  And  the parties place the following orders:
  When  the opening auction period ends for market "USD/DEC23"
  Then  the market data for the market "USD/DEC23" should be:
  Then  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "USD/DEC23"
  And  the order book should have the following volumes for market "USD/DEC23":
  When  the parties place the following orders with ticks:
  Then  the order book should have the following volumes for market "USD/DEC23":
  When  the parties place the following orders with ticks:
  Then  the order book should have the following volumes for market "USD/DEC23":
  And  the market data for the market "USD/DEC23" should be:

