Scenario 1: close out when there is enough orders on the orderbook to cover the position (0008-TRAD-002,0008-TRAD-003, 0008-TRAD-006)
  Tags: ['@Liquidation']
  Given  the parties deposit on asset's general account the following amount:
  When  the parties place the following orders:
  Then  the opening auction period ends for market "ETH/DEC19"
  And  the mark price should be "150" for the market "ETH/DEC19"
  And  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "ETH/DEC19"
  When  the parties place the following orders with ticks:
  And  the parties should have the following margin levels:
  Then  the parties should have the following account balances:
  Then  the parties should have the following margin levels:
  When  the parties place the following orders with ticks:
  Then  the parties should have the following account balances:
  When  the parties place the following orders with ticks:
  Then  the parties should have the following profit and loss:
  Then  the parties should have the following account balances:
  And  the insurance pool balance should be "0" for the market "ETH/DEC19"

