Scenario 2: Increase size success and loosing position in order book (0004-AMND-033)
  Given  the parties deposit on asset's general account the following amount:
  When  the parties place the following orders:
  Then  the opening auction period ends for market "BTC/ETH"
  And  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "BTC/ETH"
  When  the parties place the following orders:
  And  the parties amend the following orders:
  Then  the orders should have the following states:
  When  the parties place the following orders:
  Then  the following trades should be executed:
  And  the orders should have the following states:
  When  the parties amend the following orders:
  Then  the orders should have the following states:
  When  the parties place the following orders:
  Then  the following trades should be executed:
  And  the orders should have the following states:

