Scenario 1: Parties with same funds, trades, orders and margin factors must have same account balances irrespective of any interim margin factor changes
  Given  the parties deposit on asset's general account the following amount:
  And  the parties place the following orders:
  When  the network moves ahead "2" blocks
  Then  the market data for the market "ETH/FEB23" should be:
  When  the parties submit update margin mode:
  And  the network moves ahead "2" blocks
  Then  the parties should have the following margin levels:
  And  the parties should have the following account balances:
  When  the parties submit update margin mode:
  And  the network moves ahead "2" blocks
  Then  the parties should have the following margin levels:
  And  the parties should have the following account balances:
  When  the parties submit update margin mode:
  And  the network moves ahead "2" blocks
  Then  the parties should have the following margin levels:
  And  the parties should have the following account balances:

