Scenario 2: 002, Pegged GTT (good till time) (parked in auction), Pegged orders will be [parked] if placed during [an auction], with time priority preserved. 0011-MARA-016
  Given  the parties deposit on asset's general account the following amount:
  Then  the parties submit the following liquidity provision:
  And  the parties place the following pegged iceberg orders:
  When  the parties place the following orders:
  Then  the opening auction period ends for market "ETH/DEC19"
  And  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "ETH/DEC19"
  And  the market data for the market "ETH/DEC19" should be:
  Then  the parties place the following pegged orders:
  Then  the order book should have the following volumes for market "ETH/DEC19":
  When  the parties place the following orders:
  And  the network moves ahead "1" blocks
  Then  the market state should be "STATE_SUSPENDED" for the market "ETH/DEC19"
  And  the trading mode should be "TRADING_MODE_MONITORING_AUCTION" for the market "ETH/DEC19"
  Then  the order book should have the following volumes for market "ETH/DEC19":

