Scenario 1: 001 check mark price using order price with cash amount 50000 USD
  Given  the parties deposit on asset's general account the following amount:
  And  the parties place the following orders:
  When  the network moves ahead "2" blocks
  Then  the mark price should be "15900" for the market "ETH/FEB23"
  And  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "ETH/FEB23"
  Then  the mark price should be "15900" for the market "ETH/FEB22"
  And  the trading mode should be "TRADING_MODE_CONTINUOUS" for the market "ETH/FEB22"
  When  the network moves ahead "2" blocks
  Then  the mark price should be "15900" for the market "ETH/FEB23"
  When  the network moves ahead "1" blocks
  Then  the mark price should be "15900" for the market "ETH/FEB23"
  When  the network moves ahead "1" blocks
  Then  the mark price should be "15900" for the market "ETH/FEB23"
  When  the network moves ahead "1" blocks
  Then  the mark price should be "16878" for the market "ETH/FEB23"
  Then  the mark price should be "16878" for the market "ETH/FEB22"
  When  the network moves ahead "4" blocks
  Then  the mark price should be "16878" for the market "ETH/FEB23"
  Then  the mark price should be "16878" for the market "ETH/FEB22"
  And  the parties place the following orders:
  When  the network moves ahead "2" blocks
  Then  the mark price should be "16878" for the market "ETH/FEB23"
  Then  the mark price should be "16878" for the market "ETH/FEB22"
  When  the network moves ahead "2" blocks
  Then  the mark price should be "17094" for the market "ETH/FEB23"
  Then  the mark price should be "17094" for the market "ETH/FEB22"

