Scenario 5: Unregistered user proposes new organisation without checking confirmation box
  Tags: ['@javascript', '@vcr', '@billy']
  Given  I click "Add Organisation"
  Then  I should be on the new proposed organisation page
  And  I fill in the proposed charity page validly
  When  I uncheck the confirmation box for "We are a not for profit organisation registered or working in Harrow"
  And  I press "Create Proposed organisation"
  And  I should see all the proposed organisation fields
  And  the proposed organisation should have been created
  And  I should be on the proposed organisations show page for the organisation
  And  the proposed organisation "Friendly charity" should have a large icon
  Then  I should not see an "Accept Proposed Organisation" button
  And  I should not see a "Reject Proposed Organisation" button

