Scenario 11: Retrieve entity - using serialization groups - fields
  When  I send the following GraphQL request:
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the header "Content-Type" should be equal to "application/json"
  And  the JSON node "data.typeQuery.fields" should have 2 elements
  And  the JSON node "data.typeQuery.fields[0].name" should be equal to "id"
  And  the JSON node "data.typeQuery.fields[1].name" should be equal to "foo"
  And  the JSON node "data.typeCreateInput.inputFields" should have 3 elements
  And  the JSON node "data.typeCreateInput.inputFields[0].name" should be equal to "bar"
  And  the JSON node "data.typeCreateInput.inputFields[1].name" should be equal to "baz"
  And  the JSON node "data.typeCreateInput.inputFields[2].name" should be equal to "clientMutationId"
  And  the JSON node "data.typeCreatePayload.fields" should have 2 elements
  And  the JSON node "data.typeCreatePayload.fields[0].name" should be equal to "dummyGroup"
  And  the JSON node "data.typeCreatePayload.fields[0].type.name" should be equal to "createDummyGroupPayloadData"
  And  the JSON node "data.typeCreatePayload.fields[1].name" should be equal to "clientMutationId"
  And  the JSON node "data.typeCreatePayloadData.fields" should have 2 elements
  And  the JSON node "data.typeCreatePayloadData.fields[0].name" should be equal to "id"
  And  the JSON node "data.typeCreatePayloadData.fields[1].name" should be equal to "bar"

