Scenario 4: Apply property filter based on the 'fields'
  Given  there are 2 dummy property objects
  When  I send a "GET" request to "/dummy_properties?fields[DummyProperty]=id,foo,bar"
  Then  the response status code should be 200
  And  the response should be in JSON
  And  the JSON should be valid according to the JSON API schema
  And  the JSON node "data" should have 2 elements
  And  the JSON node "data[0].attributes._id" should be equal to "1"
  And  the JSON node "data[0].attributes.foo" should be equal to "Foo #1"
  And  the JSON node "data[0].attributes.bar" should be equal to "Bar #1"
  And  the JSON node "data[0].attributes.group" should not exist

