Scenario 5: Get an rfc 7807 bad method error
  When  I add "Content-Type" header equal to "application/ld+json"
  And  I add "Accept" header equal to "application/ld+json"
  And  I send a "PATCH" request to "/dummy_problems" with body:
  Then  the response status code should be 405
  And  the response should be in JSON
  And  the header "Content-Type" should be equal to "application/problem+json; charset=utf-8"
  And  the header "Link" should contain '<http://www.w3.org/ns/hydra/error>; rel="http://www.w3.org/ns/json-ld#error"'
  And  the JSON node "@context" should exist
  And  the JSON node "type" should exist
  And  the JSON node "hydra:title" should be equal to "An error occurred"
  And  the JSON node "detail" should exist
  And  the JSON node "description" should not exist

