Scenario 6: Edit credentials
  Given  I am authorized for the "Admin" section
  When  I follow the left menu "Admin > Setup Wizard > Organization Credentials"
  And  I ask to edit the credentials for "invalidname"
  And  I enter "SCC user" as "edit-user"
  And  I enter "geekogeeko" as "edit-password"
  And  I click on "Save"
  Then  I should see a "Credentials with this username already exist" text
  When  I enter "invalidgeeko" as "edit-user"
  And  I click on "Save"
  Then  I should see a "invalidgeeko" text
  And  the credentials for "invalidgeeko" should be invalid

