Scenario 13: Cleanup: remove the package states
  Given  I am on the Systems overview page of this "sle_minion"
  When  I follow "States" in the content area
  And  I follow "Packages"
  Then  I should see a "Package States" text
  When  I change the state of "orion-dummy" to "Unmanaged" and ""
  And  I change the state of "perseus-dummy" to "Unmanaged" and ""
  Then  I should see a "2 Changes" text
  When  I click save
  Then  I wait until I see "Package states have been saved." text
  And  I click apply
  And  I remove package "orion-dummy" from this "sle_minion"
  And  I remove package "perseus-dummy" from this "sle_minion"

