Scenario 6: Pre-requisite: ensure the errata cache is computed before patching Salt minion
  Given  I am on the Systems overview page of this "ssh_minion"
  When  I follow "Software" in the content area
  And  I follow "List / Remove" in the content area
  And  I enter "virgo-dummy" as the filtered package name
  And  I click on the filter button until page does contain "virgo-dummy" text
  When  I follow the left menu "Admin > Task Schedules"
  And  I follow "errata-cache-default"
  And  I follow "errata-cache-bunch"
  And  I click on "Single Run Schedule"
  Then  I should see a "bunch was scheduled" text
  When  I wait until the table contains "FINISHED" or "SKIPPED" followed by "FINISHED" in its first rows

