Scenario 3: Pre-requisite: Subscribe SUSE minions to SLE-Module-Python3-15-SP4-Pool for x86_64
  Tags: ['@susemanager']
  Given  I am on the Systems overview page of this "sle_minion"
  When  I follow "Software" in the content area
  And  I follow "Software Channels" in the content area
  And  I check "SLE-Module-Python3-15-SP4-Pool for x86_64" by label
  And  I check "SLE-Product-SLES15-SP4-LTSS-Updates for x86_64" by label
  And  I click on "Next"
  And  I click on "Confirm"
  And  I wait until I see "Changing the channels has been scheduled." text
  And  I follow "scheduled"
  And  I wait until I see "1 system successfully completed this action" text, refreshing the page

