Scenario 9: Schedule channel change action
  Tags: ['@susemanager']
  Given  I am on the Systems overview page of this "sle_minion"
  When  I follow "Software" in the content area
  And  I follow "Software Channels" in the content area
  And  I wait until I do not see "Loading..." text
  Then  radio button "SLE-Product-SLES15-SP4-Pool for x86_64" should be checked
  When  I wait until I do not see "Loading..." text
  Then  I should see "SLE15-SP4-Installer-Updates for x86_64" as unchecked
  When  I check "SLE15-SP4-Installer-Updates for x86_64"
  And  I click on "Next"
  Then  I should see a "Confirm Software Channel Change" text
  When  I pick "17:30" as time
  And  I click on "Confirm"
  Then  I should see a "Changing the channels has been scheduled." text

