Scenario 6: Create a complete minion activation key
  Tags: ['@uyuni']
  When  I follow the left menu "Systems > Activation Keys"
  And  I follow "Create Key"
  And  I wait for child channels to appear
  And  I enter "Minion testing" as "description"
  And  I enter "MINION-TEST" as "key"
  And  I enter "20" as "usageLimit"
  And  I select "openSUSE Tumbleweed (x86_64)" from "selectedBaseChannel"
  And  I wait for child channels to appear
  And  I check "Uyuni Client Tools for openSUSE Tumbleweed (x86_64) (Development)"
  And  I check "Fake-RPM-SUSE-Channel"
  And  I click on "Create Activation Key"
  And  I follow "Configuration" in the content area
  And  I follow first "Subscribe to Channels" in the content area
  And  I check "Key Channel" in the list
  And  I click on "Continue"
  And  I follow "Packages"
  And  I enter "orion-dummy perseus-dummy" as "packages"
  And  I click on "Update Activation Key"
  Then  I should see a "Activation key Minion testing has been modified" text

