Scenario 5: Enter duplicate SCC credentials
  Given  I am authorized for the "Admin" section
  When  I follow the left menu "Admin > Setup Wizard > Organization Credentials"
  And  I ask to add new credentials
  And  I enter "invalidname" as "edit-user"
  And  I enter "invalidpw" as "edit-password"
  And  I click on "Save"
  Then  the credentials for "invalidname" should be invalid
  When  I ask to add new credentials
  And  I enter "invalidname" as "edit-user"
  And  I enter "invalidpw" as "edit-password"
  And  I click on "Save"
  Then  I should see a "Credentials with this username already exist" text
  When  I click on "Cancel"
  Then  the credentials for "invalidname" should be invalid

