Scenario 5: Synchronize the repositories in the custom channel for monitoring_server
  When  I follow the left menu "Software > Manage > Channels"
  And  I enter "monitoring_server" as the filtered channel name
  And  I click on the filter button
  And  I follow "Custom Channel for monitoring_server"
  And  I follow "Repositories" in the content area
  And  I follow "Sync"
  And  I wait until I do not see "Repository sync is running" text, refreshing the page
  And  I wait until button "Sync Now" becomes enabled
  And  I click on "Sync Now"
  Then  I should see a "Repository sync scheduled" text or "No repositories are currently associated with this channel" text

