Scenario 7: Change from proxy to direct connection
  Given  I am on the Systems overview page of this "sle_minion"
  When  I follow "Details" in the content area
  And  I follow "Connection" in the content area
  And  I follow "Change" in the content area
  And  I select "None" from "proxies"
  And  I click on "Change Proxy"
  And  I wait until I see "scheduled" text
  And  I follow "Events"
  And  I follow "History"
  And  I wait until I see the event "Apply states [bootstrap.set_proxy] scheduled" completed during last minute, refreshing the page
  And  I wait until I see the event "Apply states [channels] scheduled" completed during last minute, refreshing the page

