Scenario 5: Check package metadata
  When  I follow the left menu "Software > Channel List > All"
  And  I follow "Show All Child Channels"
  And  I follow "Fake-RPM-SUSE-Channel"
  And  I follow "Packages"
  And  I follow "andromeda-dummy-2.0-1.1.noarch"
  Then  I should see a "This is the andromeda dummy package used for testing SUSE Manager" text
  And  I should see a "Fake-RPM-SUSE-Channel" link
  And  I should see a "build.opensuse.org" text
  And  I should see a "SHA512sum:" text
  And  I should see a "packages/1/199/andromeda-dummy/2.0-1.1/noarch/19940cc4a9f0d38a038a4455b0f1cf1290c4a4296b27f5a62f4aae60585ac6e2677e88c3c3127d487116ed8d9b1787379e23aafac46bc14408864926bedee693/andromeda-dummy-2.0-1.1.noarch.rpm" text

