Scenario 4: Search for account
  Tags: ['@search']
  Given  application plan "Basic" has 20 contracts
  When  they go to the admin portal new application page
  And  they toggle the menu on select "Account"
  And  they press "View all accounts"
  Then  they should see "Select an account"
  And  they should see 5 pages
  When  they search "Jane" using the toolbar
  Then  the search input should be filled with "Jane"
  And  they should see following table:
  When  they clear the search filter
  And  they look at the 5th page
  Then  they should see following table:

