Scenario 6: On paid plan when payment gateway is in test mode
  Given  a provider "foo.3scale.localhost" with postpaid billing enabled
  And  provider "foo.3scale.localhost" has payment gateway in test mode
  And  the following application plans:
  When  the current domain is foo.3scale.localhost
  And  I go to the sign up page for the "Basic" plan
  And  I fill in all required signup fields as "bob"
  And  I press "Sign up"
  When  user "bob" activates himself
  And  buyer "bob" is approved
  And  I log in as "bob" on foo.3scale.localhost
  And  I go to the dashboard
  Then  I should not see "Payment details required"

