arquivo,erro_parser,erro_lint,erros_parser_descricao,erros_lint_descricao,quantidade_problemas_lint
BookingImminentAlert_story_processado_01_Imminent_booking_notification_for_asker,0,1,-,linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,2
BookingImminentAlert_story_processado_02_Imminent_booking_notification_for_offerer,0,1,-,linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,2
BookingImminentAlert_story_processado_03_No_notification_for_cancelled_booking,0,1,-,linha 9: Multiple empty lines are not allowed linha 10: Multiple empty lines are not allowed,2
BookingImminentAlert_story_processado_04_Notification_for_booking_with_multiple_askers,0,1,-,linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,2
BookingImminentAlert_story_processado_05_Notification_timing,0,1,-,linha 5: Step name is too long. Length of 78 is longer than the maximum allowed: 70 linha 8: Step name is too long. Length of 80 is longer than the maximum allowed: 70 linha 10: Multiple empty lines are not allowed,3
BookingValidation_story_processado_01_Validate_paid_booking_after_start_time,0,1,-,linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,2
BookingValidation_story_processado_02_Validate_paid_booking_before_start_time,0,1,-,linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,2
BookingValidation_story_processado_03_Validate_unpaid_booking,0,1,-,linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,2
BookingValidation_story_processado_04_Validate_paid_booking_with_missing_information,0,1,-,linha 8: Step name is too long. Length of 72 is longer than the maximum allowed: 70 linha 10: Multiple empty lines are not allowed linha 11: Multiple empty lines are not allowed,3
BookingValidation_story_processado_05_Successful_validation_of_paid_booking,0,1,-,linha 12: Multiple empty lines are not allowed,1
UserPasswordResetting_story_processado_01_Request_password_recovery_with_registered_email,0,1,-,linha 9: Multiple empty lines are not allowed linha 10: Multiple empty lines are not allowed,2
UserPasswordResetting_story_processado_02_Request_password_recovery_with_unregistered_email,0,1,-,linha 5: Step name is too long. Length of 72 is longer than the maximum allowed: 70 linha 9: Multiple empty lines are not allowed linha 10: Multiple empty lines are not allowed,3
UserPasswordResetting_story_processado_03_Password_recovery_with_expired_link,0,1,-,linha 11: Multiple empty lines are not allowed linha 12: Multiple empty lines are not allowed,2
UserPasswordResetting_story_processado_04_Password_recovery_with_used_link,0,1,-,linha 11: Multiple empty lines are not allowed linha 12: Multiple empty lines are not allowed,2
UserPasswordResetting_story_processado_05_Successful_password_recovery,0,1,-,linha 12: Multiple empty lines are not allowed,1
